Time,PIR_A105,PIR_A001,PIR_A105A,PIR_A107,PIR_A108,PIR_A109,PIR_A000,PIR_A101,PIR_A103,PIR_A201,PIR_A202,PIR_A203,PIR_A110,PIR_A111,PIR_A112,PIR_A204,PIR_A205,PIR_A206,PIR_A208,PIR_A209,PIR_A003,PIR_A210,PIR_A212,PIR_A911,PIR_A912,PIR_A911,CO2_A105,CO2_A101,CO2_A105A,CO2_A107 ,CO2_A108,CO2_A109,CO2_A000,CO2_A101,CO2_A103,CO2_A201,CO2_A202,CO2_A203,CO2_A110,CO2_A111,CO2_A112,CO2_A204,CO2_A208,CO2_A205,CO2_A206,CO2_A207,CO2_A209,CO2_A003,CO2_A212,CO2_A210,CO2_A912,CO2_A911,light,plug,devices,groundtruth
2018-08-15 17:25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,811.7216,689.6215,697.9243,820.0244,696.9475,652.0146,677.8999,694.0171,718.6255,617.8266,501.5873,605.6166,780.9523,549.339,838.5837,583.6385,693.0403,593.895,611.9658,694.0171,794.6276,660.8058,614.8962,736.0195,379.9756,648.6179,5.3,0.85,29,10
2018-08-15 17:30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,800,686.6911,680.8522,816.6057,694.0171,631.9902,674.9695,681.8071,695.6707,606.5934,493.7729,602.6862,747.7411,542.0129,835.6532,576.801,693.0403,563.6142,605.6166,686.6911,814.652,641.7582,610.989,703.7851,379.9756,648.6179,5.16,0.85,29,9
2018-08-15 17:35,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,800,686.6911,680.8522,816.6057,694.0171,631.9902,674.9695,681.8071,695.6707,606.5934,493.7729,602.6862,747.7411,542.0129,835.6532,576.801,693.0403,563.6142,605.6166,686.6911,814.652,641.7582,610.989,703.7851,379.9756,648.6179,5.15,0.85,22,10
2018-08-15 17:40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,800,686.6911,680.8522,816.6057,694.0171,631.9902,674.9695,681.8071,695.6707,606.5934,493.7729,602.6862,747.7411,542.0129,835.6532,576.801,693.0403,563.6142,605.6166,686.6911,814.652,641.7582,610.989,703.7851,379.9756,648.6179,5.7,0.85,21,8
2018-08-15 17:45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,786.8132,681.8071,679.8535,810.7449,683.7607,625.641,670.5739,679.8535,704.4619,600.7326,484.9817,581.685,720.8792,528.3807,836.6301,562.6374,675.9463,564.591,591.9414,676.9231,737.9731,624.6642,602.6862,694.0171,379.9756,607.5702,5.12,0.85,22,8
2018-08-15 17:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,786.8132,681.8071,679.8535,810.7449,683.7607,625.641,670.5739,679.8535,704.4619,600.7326,484.9817,581.685,720.8792,528.3807,836.6301,562.6374,675.9463,564.591,591.9414,676.9231,737.9731,624.6642,602.6862,694.0171,379.9756,607.5702,5.06,0.85,22,8
2018-08-15 17:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,786.8132,681.8071,679.8535,810.7449,683.7607,625.641,670.5739,679.8535,704.4619,600.7326,484.9817,581.685,720.8792,528.3807,836.6301,562.6374,675.9463,564.591,591.9414,676.9231,737.9731,624.6642,602.6862,694.0171,379.9756,607.5702,5.06,0.85,21,8
2018-08-15 18:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,784.8596,674.9695,673.0159,803.9072,678.8767,613.9194,655.9218,676.9231,695.6707,591.9414,478.6325,581.685,708.6691,528.3378,821.0012,556.7766,674.9695,543.5897,581.685,674.9695,726.7399,614.8962,613.9194,687.6679,379.9756,607.5702,5,0.85,21,7
2018-08-15 18:05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,784.8596,674.9695,673.0159,803.9072,678.8767,613.9194,655.9218,676.9231,695.6707,591.9414,478.6325,581.685,708.6691,528.3378,821.0012,556.7766,674.9695,543.5897,581.685,674.9695,726.7399,614.8962,613.9194,687.6679,379.9756,607.5702,4.97,0.85,22,7
2018-08-15 18:10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,784.8596,674.9695,673.0159,803.9072,678.8767,613.9194,655.9218,676.9231,695.6707,591.9414,478.6325,581.685,708.6691,528.3378,821.0012,556.7766,674.9695,543.5897,581.685,674.9695,726.7399,614.8962,613.9194,687.6679,379.9756,607.5702,5.14,0.85,20,6
