Time,PIR_B112,PIR_B203,PIR_B204,PIR_B201,PIR_B202,PIR_B207,PIR_B208,PIR_B205,PIR_B206,PIR_B209,CO2_B105A,CO2_B112,CO2_B203,CO2_B203A,CO2_B201,CO2_B202,CO2 _B207,CO2_B208,CO2_B205,CO2_B206,CO2_B209,CO2_B301A,CO2_B301B,light,plug,devices,groundtruth
2018-02-13 7:18,0,0,0,0,0,0,0,0,0,0,537.7289,663.7363,580.7082,564.591,604.6398,498.6569,570.9402,630.0014,609.0354,576.868,476.574,609.0354,610.989,1.76,0.52,3,2
2018-02-13 7:23,0,0,0,0,0,0,0,0,0,0,537.7289,663.7363,580.7082,564.591,604.6398,498.6569,570.9402,630.0014,609.0354,576.868,476.574,609.0354,610.989,1.76,0.52,4,2
2018-02-13 7:28,0,0,0,0,0,0,0,0,0,0,541.6361,663.7363,580.7082,564.591,610.0122,498.6569,570.9402,630.0014,609.0354,576.868,476.574,614.7008,609.0354,1.76,0.51,4,2
2018-02-13 7:33,0,0,0,0,0,0,0,0,0,0,542.6129,665.6899,580.7082,564.591,610.0122,505.0061,570.9402,630.0014,611.9568,559.707,476.574,612.9426,610.0122,1.76,0.51,6,2
2018-02-13 7:38,0,0,0,0,0,0,0,0,0,0,542.6129,665.6899,580.7082,564.591,610.0122,505.0061,570.9402,630.0014,611.9568,559.707,476.574,612.9426,610.0122,1.77,0.51,6,2
2018-02-13 7:43,0,0,0,0,0,0,0,0,0,0,542.6129,669.597,580.7082,564.591,610.0122,505.0061,570.9402,630.0014,611.9568,559.707,476.574,612.9426,610.0122,1.79,0.5,6,2
2018-02-13 7:48,0,0,0,0,0,0,0,0,0,0,547.9854,673.9927,580.7082,564.591,610.0122,505.0061,570.9402,630.0014,611.9568,559.707,476.574,622.7106,619.7802,1.79,0.49,5,2
2018-02-13 7:53,0,0,0,0,0,0,0,0,0,0,547.9854,673.9927,580.7082,564.591,610.0122,505.0061,570.9402,630.0014,611.9568,559.707,476.574,622.7106,619.7802,1.79,0.49,5,2
2018-02-13 7:58,0,0,0,0,0,0,0,0,0,0,547.9854,678.8767,586.569,570.9402,609.0354,505.0061,563.6142,626.6178,611.9568,559.707,487.9121,622.7106,619.7802,1.79,0.48,5,2
2018-02-13 8:03,0,0,0,0,0,0,0,0,0,0,562.6374,674.9695,586.569,570.9402,609.0354,506.9597,563.6142,626.6178,610.989,547.0085,487.9121,619.7802,609.9451,1.79,0.48,6,2
2018-02-13 8:08,0,0,0,0,0,0,0,0,0,0,562.6374,677.8999,586.569,570.9402,609.0354,506.9597,563.6142,626.6178,610.989,547.0085,487.9121,619.7802,609.9451,1.79,0.49,5,2
2018-02-13 8:13,0,0,0,0,0,0,0,0,0,0,562.6374,675.9463,586.569,570.9402,609.0354,506.9597,563.6142,626.6178,610.989,547.0085,487.9121,619.7802,609.9451,1.79,0.48,6,3
2018-02-13 8:18,0,0,0,0,0,0,0,0,0,0,556.7766,678.8767,586.569,570.9402,609.0354,506.9597,563.6142,626.6178,610.989,547.0085,487.9121,622.7106,615.873,1.79,0.48,6,3
2018-02-13 8:23,0,0,0,0,0,0,0,0,0,0,556.7766,678.8767,586.569,570.9402,609.0354,506.9597,563.6142,626.6178,610.989,547.0085,487.9121,622.7106,615.873,1.79,0.48,7,6
2018-02-13 8:28,0,0,0,0,0,0,0,0,0,0,556.7766,676.9231,586.569,568.9866,612.9426,506.9597,561.6606,626.6178,610.989,547.0085,486.9353,622.7106,615.873,1.79,0.49,10,8
2018-02-13 8:33,0,0,0,0,0,0,0,0,0,0,561.6606,678.8767,586.569,568.9866,612.9426,508.9133,561.6606,626.6178,611.9658,541.6361,486.9353,622.7106,614.8962,1.79,0.49,13,13
2018-02-13 8:38,0,0,0,0,0,0,0,0,0,0,561.6606,673.0159,586.569,568.9866,612.9426,508.9133,561.6606,626.6178,611.9658,541.6361,486.9353,622.7106,614.8962,1.79,0.52,16,16
2018-02-13 8:43,0,0,0,0,0,0,0,0,0,0,561.6606,679.8535,586.569,568.9866,612.9426,508.9133,561.6606,626.6178,611.9658,541.6361,486.9353,622.7106,614.8962,3.14,0.51,21,16
2018-02-13 8:48,0,0,0,0,0,0,0,0,0,0,554.823,682.7839,586.569,568.9866,612.9426,508.9133,561.6606,626.6178,611.9658,541.6361,486.9353,624.7953,615.2162,3.12,0.52,23,17
2018-02-13 8:53,0,0,0,0,0,0,0,0,1,0,554.823,681.7534,586.569,568.9866,612.9426,508.9133,561.6606,626.6178,611.9658,541.6361,486.9353,624.7953,615.2162,3.12,0.54,23,19
2018-02-13 8:58,0,0,0,0,0,0,0,0,1,0,554.823,681.8071,589.011,571.917,615.873,508.9133,572.6377,622.7106,611.9658,541.6361,488.8889,624.7953,615.2162,4.44,0.53,22,19
2018-02-13 9:03,0,0,0,0,0,0,0,0,1,0,552.8694,680.8303,589.011,571.917,615.873,510.8669,572.6377,622.7106,616.8498,648.5959,488.8889,627.5946,621.7338,4.41,0.54,24,20
2018-02-13 9:08,0,0,0,0,0,0,0,0,1,0,552.8694,687.6679,589.011,571.917,615.873,510.8669,572.6377,622.7106,616.8498,648.5959,488.8889,627.5946,621.7338,4.4,0.53,26,21
2018-02-13 9:13,0,0,0,0,0,0,0,0,1,0,552.8694,688.6876,589.011,571.917,615.873,510.8669,572.6377,622.7106,616.8498,648.5959,488.8889,627.5946,621.7338,4.4,0.54,27,21
2018-02-13 9:18,0,0,0,0,0,0,0,0,1,0,547.0085,685.4583,589.011,571.917,615.873,510.8669,572.6377,622.7106,616.8498,648.5959,488.8889,630.0366,621.7338,4.4,0.53,28,24
2018-02-13 9:23,0,0,0,0,0,0,0,0,1,0,547.0085,689.6215,589.011,571.917,615.873,510.8669,572.6377,622.7106,616.8498,648.5959,488.8889,630.0366,621.7338,4.4,0.53,30,25
2018-02-13 9:28,0,0,0,0,0,0,0,0,1,0,547.0085,694.0171,596.8254,578.7546,620.757,510.8669,589.011,634.9207,616.8498,648.5959,494.7497,630.0366,621.7338,4.4,0.53,32,26
2018-02-13 9:33,0,0,0,0,0,0,0,0,1,0,560.6838,698.9011,596.8254,578.7546,620.757,517.7045,589.011,634.9207,627.5946,631.7949,494.7497,646.6423,631.9902,4.47,0.53,33,27
2018-02-13 9:38,0,0,0,0,0,0,0,0,1,0,560.6838,694.7891,596.8254,578.7546,620.757,517.7045,589.011,634.9207,627.5946,631.7949,494.7497,646.6423,631.9902,4.92,0.54,34,26
2018-02-13 9:43,0,1,0,0,0,0,0,0,1,0,560.6838,700.8547,596.8254,578.7546,620.757,517.7045,589.011,634.9207,627.5946,631.7949,494.7497,646.6423,631.9902,5.12,0.56,34,24
2018-02-13 9:48,0,0,0,0,0,0,0,0,1,0,557.7534,701.8315,596.8254,578.7546,620.757,517.7045,589.011,634.9207,627.5946,631.7949,494.7497,667.6434,653.9683,5.11,0.55,32,27
2018-02-13 9:53,0,0,0,0,0,0,0,0,1,0,557.7534,701.8315,596.8254,578.7546,620.757,517.7045,589.011,634.9207,627.5946,631.7949,494.7497,667.6434,653.9683,5.11,0.69,35,26
2018-02-13 9:58,0,0,0,0,0,0,0,0,1,0,557.7534,707.6923,639.8046,597.7881,634.9207,517.7045,591.9414,641.7582,627.5946,631.7949,506.9597,667.6434,653.9683,5.11,0.55,35,27
2018-02-13 10:03,0,0,0,0,0,0,0,0,1,0,556.7766,707.6923,639.8046,597.7881,634.9207,531.8681,591.9414,641.7582,642.735,594.8718,506.9597,686.6911,664.7131,5.11,0.55,35,32
2018-02-13 10:08,0,0,0,0,0,0,0,0,1,0,556.7766,708.6691,639.8046,597.7881,634.9207,531.8681,591.9414,641.7582,642.735,594.8718,506.9597,686.6911,664.7131,5.1,0.54,37,33
2018-02-13 10:13,0,0,0,0,0,0,0,0,1,0,556.7766,708.6691,639.8046,597.7881,634.9207,531.8681,591.9414,641.7582,642.735,594.8718,506.9597,686.6911,664.7131,5.1,0.55,37,34
2018-02-13 10:18,0,0,0,0,0,0,0,0,1,0,561.6606,717.9487,639.8046,597.7881,634.9207,531.8681,591.9414,641.7582,642.735,594.8718,506.9597,694.9939,684.7375,5.1,0.56,39,35
2018-02-13 10:23,0,0,0,0,0,0,0,0,1,0,561.6606,717.9487,639.8046,597.7881,634.9207,531.8681,591.9414,641.7582,642.735,594.8718,506.9597,694.9939,684.7375,5.1,0.56,39,37
2018-02-13 10:28,0,0,0,0,0,0,0,0,1,0,561.6606,718.9255,927.7562,618.8034,654.9451,531.8681,606.5934,654.9451,642.735,594.8718,521.6118,694.9939,684.7375,5.1,0.57,42,37
2018-02-13 10:33,0,0,0,0,0,0,0,0,1,0,562.6374,724.7723,927.7562,618.8034,654.9451,546.2271,606.5934,654.9451,664.7131,651.0378,521.6118,709.6459,708.6691,5.1,0.57,44,39
2018-02-13 10:38,0,0,0,0,0,0,0,0,1,0,562.6374,725.7631,927.7562,618.8034,654.9451,546.2271,606.5934,654.9451,664.7131,651.0378,521.6118,709.6459,708.6691,5.1,0.58,44,37
2018-02-13 10:43,0,0,0,0,0,0,0,0,1,0,562.6374,731.624,927.7562,618.8034,654.9451,546.2271,606.5934,654.9451,664.7131,651.0378,521.6118,709.6459,708.6691,5.11,0.58,46,41
2018-02-13 10:48,0,0,0,0,0,0,0,0,1,0,565.5678,726.7399,927.7562,618.8034,654.9451,546.2271,606.5934,654.9451,664.7131,651.0378,521.6118,717.9213,726.7399,5.1,0.58,49,41
2018-02-13 10:53,0,1,0,0,0,0,0,0,1,0,565.5678,728.6935,927.7562,618.8034,654.9451,546.2271,606.5934,654.9451,664.7131,651.0378,521.6118,717.9213,726.7399,5.1,0.59,50,36
2018-02-13 10:58,0,1,0,0,0,0,0,0,1,0,565.5678,736.9963,1067.6434,628.5714,666.6666,546.2271,621.7338,671.1013,664.7131,651.0378,542.6129,717.9213,726.7399,5.09,0.6,48,42
2018-02-13 11:03,0,0,0,0,0,0,0,0,1,0,560.6838,738.9499,1067.6434,628.5714,666.6666,560.6838,621.7338,671.1013,685.7143,682.7839,542.6129,739.9267,729.6703,5.08,0.59,49,49
2018-02-13 11:08,0,0,0,0,0,0,0,0,1,0,560.6838,741.8803,1067.6434,628.5714,666.6666,560.6838,621.7338,671.1013,685.7143,682.7839,542.6129,739.9267,729.6703,5.08,0.6,48,49
2018-02-16 7:33,0,0,0,0,0,0,0,0,0,0,544.5665,636.8743,557.7534,517.7045,579.7314,463.9805,534.7985,578.7546,568.0098,534.4468,450.7936,573.898,579.7314,2.59,0.48,5,3
2018-02-16 7:38,0,0,0,0,0,0,0,0,0,0,544.5665,647.6191,557.7534,517.7045,579.7314,463.9805,534.7985,578.7546,568.0098,534.4468,450.7936,573.898,579.7314,2.6,0.47,5,3
2018-02-16 7:43,0,0,0,0,0,0,0,0,0,0,544.5665,641.7582,557.7534,517.7045,579.7314,463.9805,534.7985,578.7546,568.0098,534.4468,450.7936,573.898,579.7314,2.61,0.48,5,3
2018-02-16 7:48,0,0,0,0,0,0,0,0,0,0,532.8449,647.6191,557.7534,517.7045,579.7314,463.9805,534.7985,578.7546,568.0098,534.4468,450.7936,580.7082,585.5922,2.31,0.47,5,3
2018-02-16 7:53,0,0,0,0,0,0,0,0,0,0,532.8449,652.9915,557.7534,517.7045,579.7314,463.9805,534.7985,578.7546,568.0098,534.4468,450.7936,580.7082,585.5922,2.31,0.46,5,3
2018-02-16 7:58,0,0,0,0,0,0,0,0,0,0,532.8449,642.735,560.6838,518.6813,582.4604,468.8645,529.9146,589.9878,568.0098,534.4468,467.8877,580.7082,585.5922,2.31,0.46,6,3
