Time,PIR_D102,PIR_D001,PIR_D103A,PIR_D104A,PIR_D104B,PIR_D105,PIR_D202,PIR_D203,PIR_D005,PIR_D206,PIR_D204,PIR_D207,PIR_D208,PIR_D205,PIR_D302,PIR_D301,PIR_D303,PIR_D304,PIR_D101A,CO2_D102,CO2_D001,CO2_D103A,CO2_D104A,CO2_D104B,CO2_D105,CO2_D202,CO2_D203,CO2_D005,CO2_D206,CO2_D204,CO2_D207,CO2_D302,CO2_D301,CO2_D303,CO2_D304,light,plug,devices,groundtruth
2018-06-18 14:04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,884.0049,909.8901,624.6642,702.8083,674.9695,766.7888,759.9512,895.7265,696.9475,730.6472,774.6031,735.0427,656.9754,700.8547,647.6959,778.9988,5.03,0.44,45,42
2018-06-18 14:09,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,884.0049,909.8901,624.6642,702.8083,674.9695,766.7888,759.9512,895.7265,696.9475,730.6472,774.6031,735.0427,656.9754,700.8547,647.6959,778.9988,5.04,0.44,45,43
2018-06-18 14:14,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,884.0049,909.8901,624.6642,702.8083,674.9695,766.7888,759.9512,895.7265,696.9475,730.6472,774.6031,735.0427,656.9754,700.8547,647.6959,778.9988,5.03,0.43,43,42
2018-06-18 14:19,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,864.9572,926.0074,626.6178,708.6691,684.7375,771.6728,766.7888,905.0061,703.7851,743.8339,781.9291,735.0427,668.697,719.8825,647.6959,770.696,5.03,0.45,46,43
2018-06-18 14:24,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,864.9572,926.0074,626.6178,708.6691,684.7375,771.6728,766.7888,905.0061,703.7851,743.8339,781.9291,736.9963,668.697,719.8825,641.835,770.696,5.04,0.52,45,49
2018-06-18 14:29,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,864.9572,926.0074,626.6178,708.6691,684.7375,771.6728,766.7888,905.0061,703.7851,743.8339,781.9291,736.9963,668.697,719.8825,641.835,770.696,4.86,0.41,50,52
2018-06-18 14:34,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,878.6324,918.6813,627.5946,703.7851,682.7839,773.6264,759.9512,917.7045,719.9023,735.0427,777.0452,736.9963,664.7899,703.7851,641.835,764.8351,4.86,0.44,42,52
2018-06-18 14:39,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,878.6324,918.6813,627.5946,703.7851,682.7839,773.6264,759.9512,917.7045,719.9023,735.0427,777.0452,736.9963,664.7899,703.7851,641.835,764.8351,4.86,0.46,44,54
2018-06-18 14:44,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,878.6324,918.6813,627.5946,703.7851,682.7839,773.6264,759.9512,917.7045,719.9023,735.0427,777.0452,736.9963,664.7899,703.7851,641.835,764.8351,4.86,0.46,44,53
2018-06-18 14:49,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,882.0513,922.5886,623.6874,694.9939,688.6447,760.928,762.8816,905.9828,822.9548,739.9267,779.9756,736.9963,667.6076,716.0488,641.835,763.8583,4.86,0.45,51,55
