Time,PIR_A105,PIR_A001,PIR_A105A,PIR_A107,PIR_A108,PIR_A109,PIR_A000,PIR_A101,PIR_A103,PIR_A201,PIR_A202,PIR_A203,PIR_A110,PIR_A111,PIR_A112,PIR_A204,PIR_A205,PIR_A206,PIR_A208,PIR_A209,PIR_A003,PIR_A210,PIR_A212,PIR_A911,PIR_A912,PIR_A911,CO2_A105,CO2_A101,CO2_A105A,CO2_A107 ,CO2_A108,CO2_A109,CO2_A000,CO2_A101,CO2_A103,CO2_A201,CO2_A202,CO2_A203,CO2_A110,CO2_A111,CO2_A112,CO2_A204,CO2_A208,CO2_A205,CO2_A206,CO2_A207,CO2_A209,CO2_A003,CO2_A212,CO2_A210,CO2_A912,CO2_A911,light,plug,devices,groundtruth
2018-03-02 7:56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,535.7753,459.5849,567.033,534.7985,518.6813,442.9792,563.6142,578.7546,573.5706,500.6105,404.884,517.7045,462.0269,456.0544,723.8095,463.9805,583.6385,449.8168,515.7509,586.569,652.0146,514.7741,496.7033,585.5922,379.9756,542.5593,4.32,0.7,6,5
2018-03-02 8:01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,536.7521,452.7473,567.033,526.0073,513.7973,450.7936,540.6594,577.7778,571.617,505.9829,411.7216,514.7741,456.6544,459.7978,723.8095,468.8645,581.685,446.8864,602.6862,601.7094,645.6655,548.9622,492.7961,589.9878,379.9756,542.5593,4.36,0.7,7,6
2018-03-02 8:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,536.7521,452.7473,567.033,526.0073,513.7973,450.7936,540.6594,577.7778,571.617,505.9829,411.7216,514.7741,456.6544,459.7978,723.8095,468.8645,581.685,446.8864,602.6862,601.7094,645.6655,548.9622,492.7961,589.9878,379.9756,542.5593,4.48,0.79,8,6
2018-03-02 8:11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,536.7521,452.7473,567.033,526.0073,513.7973,450.7936,540.6594,577.7778,571.617,505.9829,411.7216,514.7741,456.6544,459.7978,723.8095,468.8645,581.685,446.8864,602.6862,601.7094,645.6655,548.9622,492.7961,589.9878,379.9756,542.5593,4.41,0.79,8,5
2018-03-02 8:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,542.6129,448.8401,565.5678,520.6349,510.8669,450.7936,534.7985,579.6777,566.733,497.6801,404.884,512.8206,463.9805,461.4269,721.856,473.7485,583.6385,449.8168,584.6154,578.7546,647.6191,535.7753,491.8193,589.9878,379.9756,542.5593,4.92,0.79,8,6
2018-03-02 8:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,542.6129,448.8401,565.5678,520.6349,510.8669,450.7936,534.7985,579.6777,566.733,497.6801,404.884,512.8206,463.9805,461.4269,721.856,473.7485,583.6385,449.8168,584.6154,578.7546,647.6191,535.7753,491.8193,589.9878,379.9756,534.7985,4.97,0.76,8,5
2018-03-02 8:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,542.6129,448.8401,565.5678,520.6349,510.8669,450.7936,534.7985,579.6777,566.733,497.6801,404.884,512.8206,463.9805,461.4269,721.856,473.7485,583.6385,449.8168,584.6154,578.7546,647.6191,535.7753,491.8193,589.9878,379.9756,534.7985,5,0.76,8,5
2018-03-02 8:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,537.7289,449.8168,585.5922,526.9841,506.9597,453.7241,548.9622,586.569,569.6634,498.6569,408.7912,515.7509,459.6826,458.9849,719.9023,477.6557,581.685,452.7473,568.9866,569.9634,690.5983,534.7985,493.7729,588.0342,379.9756,534.7985,5.04,0.76,10,6
2018-03-02 8:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,537.7289,449.8168,585.5922,526.9841,506.9597,453.7241,548.9622,586.569,569.6634,498.6569,408.7912,515.7509,459.6826,458.9849,719.9023,477.6557,581.685,452.7473,568.9866,569.9634,690.5983,534.7985,493.7729,588.0342,379.9756,534.7985,5.14,0.76,12,7
2018-03-02 8:41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,537.7289,449.8168,585.5922,526.9841,506.9597,453.7241,548.9622,586.569,569.6634,498.6569,408.7912,515.7509,459.6826,458.9849,719.9023,477.6557,581.685,452.7473,568.9866,569.9634,690.5983,534.7985,493.7729,588.0342,379.9756,534.7985,5.08,0.79,11,7
