Time,PIR_B112,PIR_B203,PIR_B204,PIR_B201,PIR_B202,PIR_B207,PIR_B208,PIR_B205,PIR_B206,PIR_B209,CO2_B105A,CO2_B112,CO2_B203,CO2_B203A,CO2_B201,CO2_B202,CO2 _B207,CO2_B208,CO2_B205,CO2_B206,CO2_B209,CO2_B301A,CO2_B301B,light,plug,devices,groundtruth
2018-07-30 16:00,0,0,0,0,0,0,0,0,0,0,653.9683,770.696,661.7827,682.7839,718.9255,583.6385,628.5714,716.9719,718.9255,719.9023,595.8486,769.7192,768.7424,2.75,0.54,40,33
2018-07-30 16:05,0,0,0,0,0,0,0,0,0,0,653.9683,772.6496,661.7827,682.7839,718.9255,583.6385,628.5714,716.9719,718.9255,719.9023,595.8486,778.022,778.022,2.75,0.53,43,29
2018-07-30 16:10,0,0,0,0,0,0,0,0,0,0,653.9683,778.022,661.7827,682.7839,718.9255,583.6385,628.5714,716.9719,718.9255,719.9023,595.8486,778.022,778.022,2.75,0.54,42,17
2018-07-30 16:15,0,0,0,0,0,0,0,0,0,0,653.9683,781.9291,661.7827,682.7839,718.9255,583.6385,628.5714,716.9719,718.9255,719.9023,595.8486,778.022,778.022,2.76,0.45,40,17
2018-07-30 16:20,0,0,0,0,0,0,0,0,0,0,659.829,781.9291,657.0035,679.8535,718.9255,583.6385,631.9902,717.9487,718.9255,719.9023,595.8486,772.6496,770.5649,2.76,0.44,33,14
2018-07-30 16:25,0,0,0,0,0,0,0,0,0,0,659.829,780.9523,657.0035,679.8535,714.0415,582.6617,631.9902,717.9487,718.9255,719.9023,594.8718,772.6496,770.5649,2.76,0.45,35,15
2018-07-30 16:30,0,0,0,0,0,0,0,0,0,0,659.829,782.2492,657.0035,679.8535,714.0415,582.6617,631.9902,717.9487,709.6459,697.9243,594.8718,772.6496,770.5649,2.76,0.44,34,14
2018-07-30 16:35,0,0,0,0,0,0,0,0,0,0,653.9683,788.7668,657.0035,679.8535,714.0415,582.6617,631.9902,717.9487,709.6459,697.9243,594.8718,760.928,759.9601,2.75,0.43,35,14
2018-07-30 16:40,0,0,0,0,0,0,0,0,0,0,653.9683,786.8132,657.0035,679.8535,714.0415,582.6617,631.9902,717.9487,709.6459,697.9243,594.8718,760.928,759.9601,2.75,0.44,35,15
2018-07-30 16:45,0,0,0,0,0,0,0,0,0,0,653.9683,779.9756,657.0035,679.8535,714.0415,582.6617,631.9902,717.9487,709.6459,697.9243,594.8718,760.928,759.9601,2.75,0.43,34,16
