"Time","DC","Groundtruth"
2018-06-18 14:04:00,45,42
2018-06-18 14:09:00,45,43
2018-06-18 14:14:00,43,42
2018-06-18 14:19:00,46,43
2018-06-18 14:24:00,45,49
2018-06-18 14:29:00,50,52
2018-06-18 14:34:00,42,52
2018-06-18 14:39:00,44,54
2018-06-18 14:44:00,44,53
2018-06-18 14:49:00,51,55
2018-06-18 14:54:00,50,53
2018-06-18 14:59:00,51,54
2018-06-18 15:04:00,50,55
2018-06-18 15:09:00,53,56
2018-06-18 15:14:00,53,56
2018-06-18 15:19:00,53,55
2018-06-18 15:24:00,50,56
2018-06-18 15:29:00,52,55
2018-06-18 15:34:00,52,56
2018-06-18 15:39:00,52,55
2018-06-18 15:44:00,53,57
2018-06-18 15:49:00,51,57
2018-06-18 15:54:00,52,50
2018-06-18 15:59:00,54,46
2018-06-18 16:04:00,56,46
2018-06-18 16:09:00,51,47
2018-06-18 16:14:00,58,55
2018-06-18 16:19:00,58,55
2018-06-18 16:24:00,62,58
2018-06-18 16:29:00,64,57
2018-06-18 16:34:00,63,60
2018-06-18 16:39:00,64,55
2018-06-18 16:44:00,64,57
2018-06-18 16:49:00,61,57
2018-06-18 16:54:00,61,58
2018-06-18 16:59:00,59,58
2018-06-18 17:04:00,51,49
2018-06-18 17:09:00,49,46
2018-06-18 17:14:00,49,47
2018-06-18 17:19:00,39,47
2018-06-18 17:24:00,42,34
2018-06-18 17:29:00,48,33
2018-06-18 17:34:00,48,37
2018-06-18 17:39:00,43,37
2018-06-18 17:44:00,52,36
2018-06-18 17:49:00,49,49
2018-06-18 17:54:00,48,50
2018-06-18 17:59:00,48,58
2018-06-18 18:04:00,64,63
2018-06-18 18:09:00,80,62
2018-06-18 18:14:00,84,64
2018-06-18 18:19:00,85,64
2018-06-18 18:24:00,88,65
2018-06-18 18:29:00,86,64
2018-06-18 18:34:00,86,64
2018-06-18 18:39:00,87,64
2018-06-18 18:44:00,87,65
2018-06-18 18:49:00,80,66
2018-06-18 18:54:00,83,67
2018-06-18 18:59:00,86,66
2018-06-18 19:04:00,88,66
2018-06-18 19:09:00,86,67
2018-06-18 19:14:00,85,66
2018-06-18 19:19:00,85,61
2018-06-18 19:24:00,87,63
2018-06-18 19:29:00,82,63
2018-06-18 19:34:00,84,63
2018-06-18 19:39:00,84,63
2018-06-18 19:44:00,80,58
2018-06-18 19:49:00,77,45
2018-06-18 19:54:00,72,45
2018-06-18 19:59:00,72,45
2018-06-18 20:04:00,71,44
2018-06-18 20:09:00,68,43
2018-06-18 20:14:00,68,42
2018-06-18 20:19:00,66,40
2018-06-18 20:24:00,66,40
2018-06-18 20:29:00,63,40
2018-06-18 20:34:00,60,39
2018-06-18 20:39:00,64,39
2018-06-18 20:44:00,59,38
2018-06-18 20:49:00,56,39
2018-06-18 20:54:00,56,30
2018-06-18 20:59:00,55,1
2018-06-18 21:04:00,16,0
2018-06-18 21:09:00,3,0
2018-06-18 21:14:00,3,0
2018-06-18 21:19:00,2,0
2018-06-18 21:24:00,3,0
2018-06-18 21:29:00,2,0
2018-06-18 21:34:00,1,0
2018-06-18 21:39:00,1,0
2018-06-18 21:44:00,2,0
2018-06-18 21:49:00,3,0
2018-06-18 21:54:00,3,0
2018-06-18 21:59:00,3,0
