"Time","CS_0PA1FSA00_TL","CS_0PA1RSF00_TL","CS_0PA1RDMFA_TL","CS_0PA1RDMEA_TL","CS_0PA1RHRW0_TL","CS_0PA1RHC00_TL","CS_0PA1RCC00_TL","CS_0PA1RSV00_TL","CS_0PA1TRA00_TL","CS_0PA1HRA00_TL","CS_0PA1TSA00_TL","CS_0PA1HSA00_TL","CS_0PA1TOA00_TL","CS_0PA1HOA00_TL","SAT_SP_TL","SASP_SP_TL","CS_0PA1_SA_CO2_TL","CS_0PA1_RA_CO2_TL"
"2018-08-19 0:00",7.1859,7.5,0,0,0,0,0,0,23.042,61.472,20.451,11.665,19.749,92.5,13,500,436.1,454.21
"2018-08-19 1:00",6.182,15.11,0,0,0,0,0,0,23.043,61.325,15.827,11.687,19.33,92.5,13,500,436.1,454.21
"2018-08-19 2:00",6.5297,7.5,0,0,0,0,0,0,22.905,61.683,16.602,11.693,18.96,92.474,13,500,436.1,454.21
"2018-08-19 3:00",12.834,12.208,0,0,0,0,0,0,22.935,60.862,16.289,11.695,18.364,92.5,13,500,431.93,454.21
"2018-08-19 4:00",0.00027286,0,0,0,0,0,0,0,22.781,61.377,16.105,11.699,17.851,92.5,13,500,439.56,454.21
"2018-08-19 5:00",7.5077,19.404,0,0,0,0,0,0,22.701,61.818,17.436,11.69,17.396,92.5,13,500,435.49,454.21
"2018-08-19 6:00",6.1023,14.738,0,0,0,0,0,0,22.886,59.788,16.177,11.702,16.857,92.5,13,500,439.56,454.21
"2018-08-19 7:00",6.1023,12.226,0,0,0,0,0,0,22.905,59.309,15.922,11.704,17.487,92.158,13,500,439.36,454.21
"2018-08-19 8:00",83.58,54.803,53.801,46.154,0,0,25.281,0,22.972,57.377,15.472,11.704,19.525,77.922,13.062,500,427.15,454.21
"2018-08-19 9:00",157.86,79.159,97.729,100,0,0,15.652,0,22.587,56.971,15.96,11.704,21.513,58.523,15.789,500,415.14,454.21
"2018-08-19 10:00",157.47,79.153,40,15.385,0,0,17.754,0,22.669,57.928,16.013,11.703,23.45,52.576,16,500,394.79,454.21
