Time,Real energy,Reactive energy,Apparent energy total,Thermal demand real power,Thermal demand reactive power,Thermal deamnd apparent total power,Power factor lagging mean
2019-08-18 0:00,270.18,129.3,299.55,266.7,129.08,296.31,89.74
2019-08-18 1:00,279.71,133.09,309.77,283.24,134.52,313.57,89.99
2019-08-18 2:00,279.93,128.58,308.05,279.8,128.26,307.8,90.72
2019-08-18 3:00,274.33,130.6,303.83,275.16,131.63,305.04,89.64
2019-08-18 4:00,264.99,133.09,296.55,264.54,132.67,295.96,89.54
2019-08-18 5:00,263.56,135.44,296.33,261.84,133.23,293.79,89.19
2019-08-18 6:00,262.92,128.6,292.7,265.28,130.33,295.57,89.62
2019-08-18 7:00,268.04,130.99,298.34,268.44,131.24,298.81,89.75
2019-08-18 8:00,279.65,136.58,311.23,278.17,135.68,309.52,89.5
2019-08-18 9:00,323.06,140.49,352.29,322.16,140.69,351.56,91.69
2019-08-18 10:00,311.69,137.2,340.56,311.57,136.44,340.14,91.43
2019-08-18 11:00,328.59,143.47,358.56,327.39,142.84,357.2,91.83
2019-08-18 12:00,322.37,148.26,354.84,321.44,147.35,353.6,91
2019-08-18 13:00,339.49,142.99,368.39,338.17,141.06,366.44,91.54
2019-08-18 14:00,350.34,144.75,379.08,346.22,144.39,375.13,92.17
2019-08-18 15:00,341.19,136.47,367.48,339.69,137.31,366.41,92.49
2019-08-18 16:00,355.35,147.44,384.74,350.71,147.04,380.29,92.15
2019-08-18 17:00,291.6,141.72,324.23,293.66,141.44,325.98,91.28
2019-08-18 18:00,276.09,140.02,309.57,277.04,139.82,310.33,89.53
2019-08-18 19:00,283.12,136.23,314.2,282.64,136.51,313.9,90.17
2019-08-18 20:00,290.35,138.02,321.49,286.82,136.78,317.78,89.93
2019-08-18 21:00,277.74,137.29,309.83,278.64,139.23,311.51,89.82
2019-08-18 22:00,279.15,132.68,309.09,281.31,133.32,311.31,90.18
2019-08-18 23:00,304.28,141.55,335.6,302.54,139.55,333.18,90.44
2019-08-19 0:00,295.13,142.2,327.62,293.2,140.12,324.99,90.2
2019-08-19 1:00,287.44,131.45,316.07,287.86,131.35,316.41,90.94
2019-08-19 2:00,286.9,142.68,320.43,285.19,141.41,318.33,89.9
2019-08-19 3:00,280.81,136.39,312.19,282.17,138.09,314.17,89.84
2019-08-19 4:00,278.77,140.61,312.26,278.51,138.54,311.08,89.17
2019-08-19 5:00,291.05,138.6,322.38,291.39,140.37,323.46,90.41
2019-08-19 6:00,294,143.89,327.34,295.38,143.08,328.23,90.27
2019-08-19 7:00,294.32,139.89,325.88,293.68,139.8,325.27,90.67
2019-08-19 8:00,455.02,249.92,519.21,448.9,250.22,514.1,90.24
2019-08-19 9:00,437.51,254.27,506.04,436.57,253.9,505.04,86.51
2019-08-19 10:00,464.64,246.1,525.8,468.85,247.94,530.39,87.64
2019-08-19 11:00,484.47,260.79,550.21,486.6,261.95,552.65,87.65
2019-08-19 12:00,480.08,253.81,543.05,481.79,254.49,544.88,88.23
2019-08-19 13:00,473.71,257.09,538.98,476.19,257.2,541.23,88.22
2019-08-19 14:00,473.32,253.86,537.17,479.9,252.71,542.45,87.96
2019-08-19 15:00,465.96,253.51,530.47,465.06,254.12,529.97,88.07
2019-08-19 16:00,474.06,261.93,541.63,472.63,260.88,539.86,87.43
2019-08-19 17:00,459.87,257.58,527.13,459.52,256.51,526.29,87.63
2019-08-19 18:00,443.55,257.54,512.91,443.69,258.34,513.44,86.49
2019-08-19 19:00,440.03,270.06,516.31,442.87,271.9,519.69,85.98
2019-08-19 20:00,409.15,262.19,485.96,409.64,262.42,486.5,84.88
2019-08-19 21:00,355.58,254.48,437.29,356.51,255.37,438.56,82.21
2019-08-19 22:00,253.38,136.3,287.72,254.23,136.86,288.74,87.22
2019-08-19 23:00,243.31,135.57,278.54,243.66,135.9,279,87.7
2019-08-20 0:00,242.53,132.7,276.46,241.19,131.78,274.86,87.82
2019-08-20 1:00,240.59,126.49,271.86,240.27,128.1,272.32,88.11
2019-08-20 2:00,244.03,127.55,275.39,243.7,130.43,276.46,87.89
