Time,Steam mass,kWh
2019-08-18 0:00,0,0
2019-08-18 1:00,0,0
2019-08-18 2:00,0.5,0.32262692
2019-08-18 3:00,0,0
2019-08-18 4:00,0,0
2019-08-18 5:00,0,0
2019-08-18 6:00,0,0
2019-08-18 7:00,0,0
2019-08-18 8:00,0.5,0.32262692
2019-08-18 9:00,0,0
2019-08-18 10:00,0,0
2019-08-18 11:00,0,0
2019-08-18 12:00,0,0
2019-08-18 13:00,0,0
2019-08-18 14:00,0,0
2019-08-18 15:00,0,0
2019-08-18 16:00,0.5,0.32262692
2019-08-18 17:00,0,0
2019-08-18 18:00,0,0
2019-08-18 19:00,0.5,0.32262692
2019-08-18 20:00,0,0
2019-08-18 21:00,0,0
2019-08-18 22:00,0.5,0.32262692
2019-08-18 23:00,0,0
2019-08-19 0:00,0.5,0.32262692
2019-08-19 1:00,0,0
2019-08-19 2:00,0,0
2019-08-19 3:00,0,0
2019-08-19 4:00,0,0
2019-08-19 5:00,0,0
2019-08-19 6:00,0,0
2019-08-19 7:00,0.5,0.32262692
2019-08-19 8:00,0,0
2019-08-19 9:00,0,0
2019-08-19 10:00,0,0
2019-08-19 11:00,0,0
2019-08-19 12:00,0.5,0.32262692
2019-08-19 13:00,0.5,0.32262692
2019-08-19 14:00,1.5,0.96788076
2019-08-19 15:00,0.5,0.32262692
2019-08-19 16:00,0.5,0.32262692
2019-08-19 17:00,0,0
2019-08-19 18:00,0.5,0.32262692
2019-08-19 19:00,0,0
2019-08-19 20:00,0,0
2019-08-19 21:00,0,0
2019-08-19 22:00,0.5,0.32262692
2019-08-19 23:00,0,0
2019-08-20 0:00,0,0
2019-08-20 1:00,0,0
2019-08-20 2:00,0,0
2019-08-20 3:00,0,0
2019-08-20 4:00,0,0
2019-08-20 5:00,0.5,0.32262692
2019-08-20 6:00,0,0
2019-08-20 7:00,0,0
2019-08-20 8:00,0,0
2019-08-20 9:00,0,0
2019-08-20 10:00,0.5,0.32262692
2019-08-20 11:00,0,0
2019-08-20 12:00,0.5,0.32262692
2019-08-20 13:00,0.5,0.32262692
2019-08-20 14:00,1,0.64525384
2019-08-20 15:00,0.5,0.32262692
2019-08-20 16:00,0,0
2019-08-20 17:00,1,0.64525384
2019-08-20 18:00,0,0
2019-08-20 19:00,0,0
2019-08-20 20:00,0,0
2019-08-20 21:00,0,0
2019-08-20 22:00,0,0
2019-08-20 23:00,0.5,0.32262692
2019-08-21 0:00,0,0
2019-08-21 1:00,0,0
2019-08-21 2:00,0,0
2019-08-21 3:00,0,0
2019-08-21 4:00,0,0
2019-08-21 5:00,0,0
2019-08-21 6:00,0,0
2019-08-21 7:00,0,0
2019-08-21 8:00,0.5,0.32262692
2019-08-21 9:00,0.5,0.32262692
2019-08-21 10:00,0,0
2019-08-21 11:00,0,0
2019-08-21 12:00,0,0
2019-08-21 13:00,0.5,0.32262692
2019-08-21 14:00,0.5,0.32262692
2019-08-21 15:00,0.5,0.32262692
2019-08-21 16:00,0,0
2019-08-21 17:00,0,0
2019-08-21 18:00,0.5,0.32262692
2019-08-21 19:00,0,0
2019-08-21 20:00,0,0
2019-08-21 21:00,0,0
2019-08-21 22:00,1,0.64525384
2019-08-21 23:00,0,0
2019-08-22 0:00,0,0
2019-08-22 1:00,0.5,0.32262692
2019-08-22 2:00,0,0
2019-08-22 3:00,0,0
2019-08-22 4:00,0,0
2019-08-22 5:00,0,0
2019-08-22 6:00,0,0
2019-08-22 7:00,0.5,0.32262692
2019-08-22 8:00,0,0
2019-08-22 9:00,0,0
2019-08-22 10:00,0.5,0.32262692
2019-08-22 11:00,0.5,0.32262692
2019-08-22 12:00,0,0
2019-08-22 13:00,0,0
2019-08-22 14:00,1,0.64525384
2019-08-22 15:00,0.5,0.32262692
2019-08-22 16:00,0,0
2019-08-22 17:00,0,0
2019-08-22 18:00,0,0
2019-08-22 19:00,0,0
2019-08-22 20:00,0,0
2019-08-22 21:00,0,0
2019-08-22 22:00,0,0
2019-08-22 23:00,0,0
2019-08-23 0:00,0.5,0.32262692
2019-08-23 1:00,0,0
2019-08-23 2:00,0,0
2019-08-23 3:00,0,0
2019-08-23 4:00,56.5,36.45684196
2019-08-23 5:00,96.5,62.26699556
2019-08-23 6:00,2.5,1.6131346
2019-08-23 7:00,8.5,5.48465764
2019-08-23 8:00,73,47.10353032
2019-08-23 9:00,43.5,28.06854204
2019-08-23 10:00,8,5.16203072
2019-08-23 11:00,11.5,7.42041916
2019-08-23 12:00,2,1.29050768
2019-08-23 13:00,2.5,1.6131346
2019-08-23 14:00,0.5,0.32262692
2019-08-23 15:00,2,1.29050768
2019-08-23 16:00,2.5,1.6131346
2019-08-23 17:00,1,0.64525384
2019-08-23 18:00,0.5,0.32262692
2019-08-23 19:00,1,0.64525384
2019-08-23 20:00,0,0
2019-08-23 21:00,1.5,0.96788076
2019-08-23 22:00,2,1.29050768
2019-08-23 23:00,0.5,0.32262692
2019-08-24 0:00,0.5,0.32262692
2019-08-24 1:00,0,0
2019-08-24 2:00,0.5,0.32262692
2019-08-24 3:00,0,0
2019-08-24 4:00,142.5,91.9486722
2019-08-24 5:00,1,0.64525384
2019-08-24 6:00,4.5,2.90364228
2019-08-24 7:00,1.5,0.96788076
2019-08-24 8:00,36,23.22913824
2019-08-24 9:00,41,26.45540744
2019-08-24 10:00,4,2.58101536
2019-08-24 11:00,0,0
2019-08-24 12:00,0,0
2019-08-24 13:00,0,0
2019-08-24 14:00,0,0
2019-08-24 15:00,0,0
2019-08-24 16:00,0,0
2019-08-24 17:00,0,0
2019-08-24 18:00,0,0
2019-08-24 19:00,0,0
2019-08-24 20:00,0,0
2019-08-24 21:00,0,0
2019-08-24 22:00,0,0
2019-08-24 23:00,0,0
2019-08-25 0:00,0,0
2019-08-25 1:00,0,0
2019-08-25 2:00,0,0
2019-08-25 3:00,0,0
2019-08-25 4:00,33.5,21.61600364
2019-08-25 5:00,104,67.10639936
2019-08-25 6:00,7,4.51677688
2019-08-25 7:00,2.5,1.6131346
2019-08-25 8:00,1,0.64525384
2019-08-25 9:00,55,35.4889612
2019-08-25 10:00,0,0
2019-08-25 11:00,0,0
2019-08-25 12:00,0,0
2019-08-25 13:00,0,0
2019-08-25 14:00,0,0
2019-08-25 15:00,0,0
2019-08-25 16:00,0,0
2019-08-25 17:00,0,0
2019-08-25 18:00,0.5,0.32262692
2019-08-25 19:00,0,0
2019-08-25 20:00,0,0
2019-08-25 21:00,0,0
2019-08-25 22:00,0,0
2019-08-25 23:00,0,0
2019-08-26 0:00,0,0
2019-08-26 1:00,0,0
2019-08-26 2:00,0.5,0.32262692
2019-08-26 3:00,0,0
2019-08-26 4:00,143.5,92.59392604
2019-08-26 5:00,0.5,0.32262692
2019-08-26 6:00,1,0.64525384
2019-08-26 7:00,8.5,5.48465764
2019-08-26 8:00,48.5,31.29481124
2019-08-26 9:00,28,18.06710752
2019-08-26 10:00,0,0
2019-08-26 11:00,0,0
2019-08-26 12:00,0.5,0.32262692
2019-08-26 13:00,0,0
2019-08-26 14:00,0,0
2019-08-26 15:00,1,0.64525384
2019-08-26 16:00,0,0
2019-08-26 17:00,0,0
2019-08-26 18:00,0,0
2019-08-26 19:00,0,0
2019-08-26 20:00,0,0
2019-08-26 21:00,0,0
2019-08-26 22:00,0,0
2019-08-26 23:00,0,0
2019-08-27 0:00,0,0
2019-08-27 1:00,0,0
2019-08-27 2:00,0.5,0.32262692
2019-08-27 3:00,0,0
2019-08-27 4:00,0,0
2019-08-27 5:00,151,97.43332984
2019-08-27 6:00,2,1.29050768
2019-08-27 7:00,13,8.38829992
2019-08-27 8:00,62,40.00573808
2019-08-27 9:00,29,18.71236136
2019-08-27 10:00,0,0
2019-08-27 11:00,0,0
2019-08-27 12:00,1.5,0.96788076
2019-08-27 13:00,0,0
2019-08-27 14:00,0,0
2019-08-27 15:00,0,0
2019-08-27 16:00,0.5,0.32262692
2019-08-27 17:00,0,0
2019-08-27 18:00,0,0
2019-08-27 19:00,0,0
2019-08-27 20:00,0,0
2019-08-27 21:00,0,0
2019-08-27 22:00,0,0
2019-08-27 23:00,0,0
2019-08-28 0:00,0,0
2019-08-28 1:00,0,0
2019-08-28 2:00,0,0
2019-08-28 3:00,0,0
2019-08-28 4:00,0,0
2019-08-28 5:00,0,0
2019-08-28 6:00,0,0
2019-08-28 7:00,0,0
2019-08-28 8:00,0,0
2019-08-28 9:00,0,0
2019-08-28 10:00,0.5,0.32262692
2019-08-28 11:00,0,0
2019-08-28 12:00,0.5,0.32262692
2019-08-28 13:00,0.5,0.32262692
2019-08-28 14:00,0,0
2019-08-28 15:00,0,0
2019-08-28 16:00,0.5,0.32262692
2019-08-28 17:00,0,0
2019-08-28 18:00,0,0
2019-08-28 19:00,0,0
2019-08-28 20:00,0,0
2019-08-28 21:00,0,0
2019-08-28 22:00,0,0
2019-08-28 23:00,0,0
2019-08-29 0:00,0,0
2019-08-29 1:00,0,0
2019-08-29 2:00,0.5,0.32262692
2019-08-29 3:00,0,0
2019-08-29 4:00,0.5,0.32262692
2019-08-29 5:00,0,0
2019-08-29 6:00,0,0
2019-08-29 7:00,0,0
2019-08-29 8:00,0,0
2019-08-29 9:00,0,0
2019-08-29 10:00,0,0
2019-08-29 11:00,0,0
2019-08-29 12:00,0,0
2019-08-29 13:00,0,0
2019-08-29 14:00,0,0
2019-08-29 15:00,0,0
2019-08-29 16:00,0.5,0.32262692
2019-08-29 17:00,1,0.64525384
2019-08-29 18:00,0,0
2019-08-29 19:00,0,0
2019-08-29 20:00,0,0
2019-08-29 21:00,0,0
2019-08-29 22:00,0,0
2019-08-29 23:00,0,0
2019-08-30 0:00,0,0
2019-08-30 1:00,0.5,0.32262692
2019-08-30 2:00,0.5,0.32262692
2019-08-30 3:00,0.5,0.32262692
2019-08-30 4:00,0,0
2019-08-30 5:00,0,0
2019-08-30 6:00,0,0
2019-08-30 7:00,0,0
2019-08-30 8:00,0.5,0.32262692
2019-08-30 9:00,0,0
2019-08-30 10:00,0,0
2019-08-30 11:00,0,0
2019-08-30 12:00,0,0
2019-08-30 13:00,0,0
2019-08-30 14:00,0.5,0.32262692
2019-08-30 15:00,0,0
2019-08-30 16:00,0.5,0.32262692
2019-08-30 17:00,0,0
2019-08-30 18:00,0,0
2019-08-30 19:00,0.5,0.32262692
2019-08-30 20:00,0,0
2019-08-30 21:00,0,0
2019-08-30 22:00,0,0
2019-08-30 23:00,0,0
2019-08-31 0:00,0,0
2019-08-31 1:00,0,0
2019-08-31 2:00,0.5,0.32262692
2019-08-31 3:00,162,104.5311221
2019-08-31 4:00,2,1.29050768
2019-08-31 5:00,5,3.2262692
2019-08-31 6:00,4.5,2.90364228
2019-08-31 7:00,3.5,2.25838844
2019-08-31 8:00,36,23.22913824
2019-08-31 9:00,43,27.74591512
2019-08-31 10:00,42,27.10066128
2019-08-31 11:00,15,9.6788076
2019-08-31 12:00,0,0
2019-08-31 13:00,0,0
2019-08-31 14:00,0,0
2019-08-31 15:00,0.5,0.32262692
2019-08-31 16:00,0,0
2019-08-31 17:00,0,0
2019-08-31 18:00,0,0
2019-08-31 19:00,0,0
2019-08-31 20:00,0,0
2019-08-31 21:00,0,0
2019-08-31 22:00,0,0
2019-08-31 23:00,37,23.87439208
2019-09-01 0:00,104.5,67.42902628
2019-09-01 1:00,6,3.87152304
2019-09-01 2:00,6,3.87152304
2019-09-01 3:00,10.5,6.77516532
2019-09-01 4:00,13.5,8.71092684
2019-09-01 5:00,12,7.74304608
2019-09-01 6:00,8.5,5.48465764
2019-09-01 7:00,15,9.6788076
2019-09-01 8:00,3,1.93576152
2019-09-01 9:00,1,0.64525384
2019-09-01 10:00,3.5,2.25838844
2019-09-01 11:00,4.5,2.90364228
2019-09-01 12:00,0,0
2019-09-01 13:00,0,0
2019-09-01 14:00,0,0
2019-09-01 15:00,0,0
2019-09-01 16:00,0.5,0.32262692
2019-09-01 17:00,0,0
2019-09-01 18:00,0,0
2019-09-01 19:00,0,0
2019-09-01 20:00,0,0
2019-09-01 21:00,0.5,0.32262692
2019-09-01 22:00,4.5,2.90364228
2019-09-01 23:00,0,0
2019-09-02 0:00,0,0
2019-09-02 1:00,0,0
2019-09-02 2:00,1,0.64525384
2019-09-02 3:00,0,0
2019-09-02 4:00,0,0
2019-09-02 5:00,0,0
2019-09-02 6:00,0.5,0.32262692
2019-09-02 7:00,0,0
2019-09-02 8:00,0,0
2019-09-02 9:00,0,0
2019-09-02 10:00,0,0
2019-09-02 11:00,0,0
2019-09-02 12:00,0,0
2019-09-02 13:00,0,0
2019-09-02 14:00,0,0
2019-09-02 15:00,0,0
2019-09-02 16:00,0,0
2019-09-02 17:00,0.5,0.32262692
2019-09-02 18:00,0,0
2019-09-02 19:00,0,0
2019-09-02 20:00,0,0
2019-09-02 21:00,0,0
2019-09-02 22:00,0,0
2019-09-02 23:00,0,0
2019-09-03 0:00,0,0
2019-09-03 1:00,0.5,0.32262692
2019-09-03 2:00,146.5,94.52968756
2019-09-03 3:00,0.5,0.32262692
2019-09-03 4:00,2,1.29050768
2019-09-03 5:00,3,1.93576152
2019-09-03 6:00,2,1.29050768
2019-09-03 7:00,2,1.29050768
2019-09-03 8:00,7,4.51677688
2019-09-03 9:00,8,5.16203072
2019-09-03 10:00,10.5,6.77516532
2019-09-03 11:00,0.5,0.32262692
2019-09-03 12:00,0,0
2019-09-03 13:00,0,0
2019-09-03 14:00,0,0
2019-09-03 15:00,0,0
2019-09-03 16:00,0,0
2019-09-03 17:00,0,0
2019-09-03 18:00,0.5,0.32262692
2019-09-03 19:00,1,0.64525384
2019-09-03 20:00,0.5,0.32262692
2019-09-03 21:00,0,0
2019-09-03 22:00,0,0
2019-09-03 23:00,0,0
2019-09-04 0:00,0.5,0.32262692
2019-09-04 1:00,131.5,84.85087996
2019-09-04 2:00,29.5,19.03498828
