Time,RM1,RM2,RM3,RM4,RM5,RM6,RM7,RM8,RM9,RM10,RM11,RM12,RM13,RM14,RM15,RM16,RM17,RM18,RM19,RM20,RM21,RM22,RM23,RM24,RM25,RM26,RM27,RM28,RM29,RM30,RM31,RM32,RM33,RM34,RM35,RM36,RM37,RM38,RM39,RM40,RM41,RM42,RM43,RM44,RM45,RM46,RM47,RM48,RM49,RM50,RM51,RM52,RM53,RM54,RM55,RM56,RM57,RM58,RM59,RM60,RM61,RM62,RM63,RM64,RM65,RM66,RM67,RM68,RM69,RM70,RM71,RM72,RM73,RM74,RM75,RM76,RM77,RM78,RM79,RM80,RM81,RM82,RM83,RM84,RM85,RM86,RM87,RM88,RM89,RM90,RM91,RM92,RM93,RM94,RM95,RM96,RM97,RM98,RM99,RM100,RM101,RM102,RM103,RM104,RM105,RM106,RM107,RM108,RM109,RM110,RM111,RM112,RM113,RM114,RM115,RM116,RM117,RM118,RM119,RM120,RM121,RM122,RM123,RM124,RM125
2019-08-18 0:00,753.21,848.35,769.13,788.36,650.74,602.1,659.24,616.26,722.54,694.02,593.99,739.73,657.09,701.83,517.9,734.55,693.12,614.92,844.35,719.9,807.13,570.55,646.84,626.71,813.99,607.57,648.6,744.32,867.2,834.09,810.94,803.42,572.6,589.01,651.61,685.87,637.73,621.51,621.53,590.08,673.02,617.83,547.09,648.3,603.08,755.26,593.09,1004.9,789.26,556.84,540.17,653.97,734.16,602.98,564.69,639.8,781.83,800.98,622.71,676.14,625.05,731.14,595.34,640.19,498.25,716.09,541.64,422.56,547.59,748.33,466.12,821.78,509.69,631.89,519.66,561.86,604.64,700.46,553.26,572.7,682.39,379.98,579.19,775.66,676.76,817.19,561.66,803.71,779.46,702.98,675.34,530.63,593.11,765.32,761.6,607.92,688.16,662.76,533.82,542.61,665.2,653.97,566.3,518.19,617.05,624.5,681.24,629.54,838.5,820.9,778.18,810.07,862.23,664.22,509.88,473.45,593.51,495.68,426.11,585.15,676.03,576.15,576.23,644.12,855.87
2019-08-18 1:00,760.34,848.16,781.15,782.42,650.55,595.07,659.83,615.87,707.99,694.02,557.52,736.61,671.65,700.27,522.59,760.05,716.95,643.74,866.62,726.84,704.47,568.69,656.7,647.54,838.9,637.35,658.85,761.03,862.61,838.39,826.57,808.76,585.1,589.01,635.69,714.22,649.61,633.08,633.15,596.34,673.02,617.83,548.07,652.31,583.44,710.53,609.04,878.73,791.01,556.67,541.29,659.44,634.04,623.2,571.72,641.95,776.36,803.32,622.71,675.65,628.47,733.33,600.61,642.74,495.31,729.38,542.03,422.56,549.55,765.13,467.29,822.77,509.69,633.55,520.05,564.88,605.03,701.83,561.76,575.24,685.91,379.98,579.24,777.62,685.7,830.87,567.03,811.72,791.67,705.13,683.54,544.31,578.85,756.78,760.03,603.17,692.31,643.22,523.81,546.65,669.74,658.36,573.02,525.27,621.54,629.45,666.99,637.37,843.96,836.47,790.02,819.36,872.91,648.15,520.06,490.2,601.69,511.77,429.26,587.3,687.26,583.6,583.61,649.53,870.78
2019-08-18 2:00,765.03,851.58,790.53,788.28,644.1,596.43,658.07,600.73,700.07,694.02,553.65,736.8,656.7,686.98,525.91,773.72,731.62,660.9,875.51,735.04,660.61,569.96,672.72,662.46,859.44,643.91,661.59,784.76,870.43,845.71,833.47,822,588.62,589.01,619.94,712.05,651.77,638.53,638.55,601.14,673.02,617.83,548.66,655.14,569.08,670.18,625.25,771.38,793.36,555.1,538.4,665.08,609.04,634.82,581.88,646.94,776.07,798.63,608.84,681.03,631.11,739.44,595.04,647.81,503.74,745.4,547.79,427.64,549.94,769.52,471.23,827.84,511.06,634.33,522.69,563.42,606.3,706.13,567.72,579.93,689.04,379.98,577.78,776.84,691.95,844.35,576.61,831.75,809.55,715.39,694.5,557.28,571.14,750.18,758.3,603.17,692.31,637.37,520.15,550.43,674.48,659.34,571.04,531.37,632.19,637.07,661.54,634.39,846.97,844.81,799.39,826.19,874.48,640.34,528.38,498.04,597.94,506.87,431.07,592.92,693.08,592.97,593.08,657.43,889.12
2019-08-18 3:00,768.16,857.34,798.05,796.09,646.94,598.19,654.16,594.87,700.46,694.02,557.17,735.53,652.11,683.17,526.79,771.97,733.58,661.58,875.12,734.65,651.41,572.5,674.47,665.55,864.37,644.43,663.76,793.57,873.55,846.5,836.1,820.04,592.23,589.01,621.27,713.27,653.32,642.05,642.09,598.53,673.02,617.83,551.97,656.9,563.81,659.05,628.77,753.6,795.12,558.2,539.83,671.55,608.35,649.77,606.01,651.23,781.64,793.36,607.47,684.54,633.85,750.67,593.78,651.23,511.92,763.08,552.28,431.75,551.31,783.49,473.38,831.16,513.41,640.58,521.42,565.18,607.96,710.1,569.77,583.05,694.51,379.98,576.8,777.75,693.03,846.5,580.71,832.72,809.75,717.43,700.27,558.34,572.7,749.21,759.23,598.68,694.51,633.84,510.87,553.36,680.34,662.27,572,534.31,638.05,643.32,656.08,634.11,845.97,847.7,800.81,825.66,871.55,636.34,526.37,498.28,595.65,505.61,433.33,592.92,699.31,597.8,597.96,664.39,893.57
2019-08-18 4:00,770.31,863.1,798.24,797.31,644.88,604.64,649.28,595.07,698.9,694.02,558.34,736.31,655.34,685.71,528.55,765.03,734.75,661.96,874.53,739.42,651.33,573.48,677.7,665.19,856.81,646.94,665.69,798.24,876.29,847.08,837.12,822.47,594.48,589.01,625.67,716.86,655.62,645.58,645.5,598.68,673.02,617.83,552.24,659.24,563.71,657.48,624.47,740.51,795.12,555.89,541.2,674.58,609.91,644.88,616.07,654.46,783.12,788.67,605.71,685.13,636.09,749.2,596.9,653.97,513.39,761.9,556.58,434.09,551.7,792.67,474.52,831.37,516.34,642.54,522.69,564.4,606.59,712.28,569.28,584.22,702.42,379.98,577.29,775.57,693.81,848.25,583.44,833.11,810.45,718.51,700.63,559.94,573.09,750.67,758.6,598.29,694.03,633.46,516.49,553.85,681.81,663.99,571.92,533.33,642.5,646.25,655.55,632.04,848.69,846.07,801.54,824.64,870.57,632.18,529.09,498.47,593.94,505.49,437.78,592.43,699.81,599.83,600.05,666.96,897.01
2019-08-18 5:00,770.11,859.98,794.04,802.15,646.06,614.31,645.18,597.22,698.12,694.02,559.51,733.58,655.34,684.74,525.52,762.3,732.6,663.36,875.6,742.86,651.05,574.85,676.53,664.98,845.65,647.54,667.64,802.54,876.87,847.08,836.24,817.83,593.11,589.01,626.48,714.8,658,644.73,644.73,596.74,673.02,617.83,551.98,658.66,564.3,656.7,617.83,719.02,797.46,558.43,541.83,673.6,615.87,644.49,615.09,659.44,782.12,786.32,598.39,689.52,634.73,748.23,598.91,654.39,512.41,758.97,559.51,436.24,552.87,788.57,474.9,833.8,517.51,643.71,523.37,565.96,607.57,713.85,567.52,585.1,704.37,379.98,577.78,776.96,691.76,848.84,584.22,831.75,807.81,718.71,699.85,555.21,568.6,751.16,758.6,596.34,690.11,632.48,516.24,552.38,683.76,664.72,574.85,530.89,643.13,647.23,654.5,631.46,852.06,846.81,800.68,823.44,868.8,629.77,529.21,498.84,592.95,502.79,437.64,591.94,698.48,600.01,599.92,671.83,897.55
2019-08-18 6:00,768.16,859.78,794.24,800.98,648.03,614.31,647.42,597.41,699.49,694.02,559.71,734.26,653.58,684.54,526.89,764.64,732.31,663.47,876.39,742.08,651.14,574.85,676.68,664.81,843.89,647.29,668.03,798.93,877.46,848.06,836.43,821.98,593.31,589.01,629.74,714.4,659.83,643.42,643.33,598.77,673.02,617.83,549.63,658.66,564.59,655.14,613.14,695.58,798.05,558.04,542.06,674.97,617.83,651.62,615.68,657.29,783.1,786.32,598.19,689.33,634.33,752.14,597.93,653.41,515.35,762.49,562.05,438.29,555.02,786.23,471.39,834.77,517.12,643.71,523.76,567.23,608.94,716.19,566.54,585.98,705.93,379.98,577.29,776.57,689.21,846.69,584.22,830.96,804.87,716.75,698.76,555.41,562.25,747.25,758.66,598.58,690.11,631.5,517.02,549.94,685.71,662.68,575.82,530.4,644.3,646.74,653.56,630.6,852.42,845.58,799.29,821.11,869.24,628.09,528.36,497.97,600.37,502.9,438.31,591.94,698.79,601.59,601.7,671.02,898.92
2019-08-18 7:00,765.42,862.52,790.52,798.86,646.86,613.72,646.45,612.26,691.09,694.02,557.17,746.18,653.58,682.98,525.62,764.05,731.43,663.15,877.17,740.12,652.11,574.07,676.15,664.41,844.73,645.83,666.86,782.32,875.31,847.47,837.02,821.98,592.33,589.01,626.62,716.8,657.55,638.24,638.29,597.64,673.02,617.83,551.98,659.83,572.01,656.7,608.64,673.6,798.05,557.84,543.87,675.16,620.37,626.62,615.87,656.7,783.49,786.32,600.54,684.74,634.14,749.21,595.73,653.67,516.8,753.6,564.98,438.39,553.85,784.88,470.61,838.91,518.29,642.93,524.83,566.35,608.16,718.53,564.79,585.89,705.93,379.98,576.8,774.79,688.73,845.71,583.83,829.79,806.22,714.6,699.27,554.41,560.88,747.74,757.73,596.34,690.11,633.01,515.75,550.92,682.05,665.69,573.38,527.96,642.54,644.49,650.72,629.95,853.19,846.72,800.69,815.14,868.23,625.76,528.99,496.7,605.48,502.62,438.88,590.96,698.16,599.84,599.76,671.57,898.81
2019-08-18 8:00,754.87,854.6,780.85,795.36,639.9,599.66,644,628.57,670.09,694.02,555.8,794.82,657.88,687.77,520.24,758.1,727.91,658.76,871.11,737.29,643.03,581.49,673.62,661.29,840.93,642.93,660.9,777.05,873.16,844.74,834.97,820.51,588.13,589.01,625.27,704.36,653.24,635.21,635.21,594.95,673.02,617.83,545.63,658.66,589.69,675.16,601.51,652.8,798.05,558.24,541.53,676.34,659.73,616.46,599.85,649.67,780.37,781.15,635.8,676.24,631.89,751.24,592.71,645.89,514.54,750.28,564.1,440.83,558.73,783.98,470.7,838.19,518.1,646.45,525.03,569.57,612.06,711.5,562.64,584.52,706.72,379.98,576.29,769.66,684.44,843.66,580.32,826.57,797.43,712.48,694.48,553.24,558.53,746.76,754.54,594.38,688.16,633.46,516.24,551.4,677.24,666.18,573.87,525.03,640.2,641.78,647.03,623.54,850.3,842.89,797.44,811.65,862.73,621.47,522.26,494.97,602.71,497.68,436.74,590.48,691.51,597.8,598.05,666.86,890.28
2019-08-18 9:00,748.91,828.82,773.72,783.39,640.39,590.96,640.39,596.63,671.65,694.02,556.58,763.08,651.62,681.61,513.41,751.84,719.71,651.74,861.83,726.35,632.19,584.22,666.86,651.59,827.39,632.58,654.16,771.48,861.83,838.1,828.62,808.79,577.58,589.01,615.05,700.18,642.39,626.9,626.9,584,673.02,617.83,548.66,681.22,570.74,677.22,604.93,601.03,798.05,563.51,546.93,672.04,650.35,617.63,594.68,645.76,777.24,846.5,605.62,672.82,628.96,745.79,585.08,640.9,500.68,744.81,572.01,450.89,572.99,785.15,480.37,835.44,528.74,657.09,537.14,584.62,639.8,721.76,566.22,596.73,717.95,379.98,567.74,762.31,679.61,845.13,577,828.23,806.26,709.27,691.75,537.1,549.65,729.18,745.61,586.77,679.37,621.22,506.96,540.17,667.64,655.47,565.32,520.88,637.26,649.21,669.3,637.85,871.23,841.79,790.07,802.1,845.01,623.14,530.13,501.11,591.97,489.84,431.33,594.87,693.57,609.9,610.13,665.65,893.9
