"Time","CS_0PA1FSA00_TL","CS_0PA1RSF00_TL","CS_0PA1RDMFA_TL","CS_0PA1RDMEA_TL","CS_0PA1RHRW0_TL","CS_0PA1RHC00_TL","CS_0PA1RCC00_TL","CS_0PA1RSV00_TL","CS_0PA1TRA00_TL","CS_0PA1HRA00_TL","CS_0PA1TSA00_TL","CS_0PA1HSA00_TL","CS_0PA1TOA00_TL","CS_0PA1HOA00_TL","SAT_SP_TL","SASP_SP_TL","CS_0PA1_SA_CO2_TL","CS_0PA1_RA_CO2_TL"
"2019-08-18 0:00",17.775,0,0,0,0,0,9.2621,0,23.616,58.399,16.297,11.685,20.365,92.5,13,400,0,479.24
"2019-08-18 1:00",76.446,50.419,0,0,0,0,19.356,0,23.174,56.307,13.229,11.714,19.331,92.5,13,400,0,479.24
"2019-08-18 2:00",84.907,63.36,0,0,0,0,19.113,0,22.759,54.282,13.36,11.72,18.769,92.5,13.41,400,0,479.24
"2019-08-18 3:00",84.608,63.36,0,0,0,0,19.785,0,22.618,53.818,13.273,11.723,18.305,92.5,13.144,400,0,479.24
"2019-08-18 4:00",84.23,63.36,0,0,0,0,16.411,0,22.552,53.83,13.961,11.717,18.351,92.5,13.946,400,0,479.24
"2019-08-18 5:00",84.028,63.36,0,0,0,0,12.518,0,22.604,55.095,15.263,11.709,18.122,92.5,15.321,400,0,479.24
"2019-08-18 6:00",83.362,63.36,0,0,0,0,11.96,0,22.679,56.19,15.802,11.701,18.59,92.5,15.869,400,0,479.24
"2019-08-18 7:00",83.478,63.36,0,0,0,0,12.654,0,22.708,56.625,15.695,11.708,18.992,92.5,15.708,400,0,479.24
"2019-08-18 8:00",104.39,66.739,100,50,0,0,15.699,0,22.614,57.034,15.607,11.702,19.23,92.5,15.62,400,0,479.24
"2019-08-18 9:00",121.06,71.068,100,100,0,0,18.571,0,22.364,58.752,16.079,11.7,20.244,92.5,16.025,400,0,454.21
"2019-08-18 10:00",118.34,70.97,100,100,0,0,19.425,0,22.348,60.431,16.051,11.705,21.468,92.5,16,400,0,454.21
"2019-08-18 11:00",119.27,71.043,12,75,0,0,19.868,0,22.348,60.379,16.001,11.701,22.04,91.771,16,400,0,454.21
"2019-08-18 12:00",122.34,72.92,12,0,0,0,15.712,0,22.372,60.383,16.003,11.697,23.654,82.872,16,400,0,454.21
