Time,Real energy,Reactive energy,Apparent energy total,Thermal demand real power,Thermal demand reactive power,Thermal deamnd apparent total power,Power factor lagging mean
2018-08-19 0:00,275.93,116.74,299.61,275.1,116.39,298.71,92.21
2018-08-19 1:00,263.18,115.26,287.31,263.06,115.71,287.4,91.6
2018-08-19 2:00,261.78,116.86,286.69,261.7,116.04,286.28,91.28
2018-08-19 3:00,263.24,118.1,288.54,265.63,117.72,290.56,91.29
2018-08-19 4:00,261.52,120.33,287.88,262.31,120.74,288.77,91.07
2018-08-19 5:00,256.5,119.68,283.05,256.26,119.85,282.9,90.73
2018-08-19 6:00,255.36,118.48,281.51,254.53,117.25,280.25,90.75
2018-08-19 7:00,256.4,122.79,284.29,255.4,122.31,283.19,90.79
2018-08-19 8:00,258.44,112.47,281.85,261.01,112.86,284.37,91.31
2018-08-19 9:00,306.65,126.47,331.71,308.16,126.61,333.16,92.7
2018-08-19 10:00,319.73,126.87,343.98,319.81,126.72,344.01,92.8
2018-08-19 11:00,336.87,130.09,361.13,338.02,129.1,361.86,92.9
2018-08-19 12:00,336.16,133.22,361.62,334.26,133.12,359.83,93.7
2018-08-19 13:00,345.33,130.12,369.03,345.03,129.98,368.7,93.64
2018-08-19 14:00,364.07,137.3,389.1,362.73,136.86,387.69,93.68
2018-08-19 15:00,357.3,130.5,380.38,358.5,130.58,381.54,93.85
2018-08-19 16:00,357.43,135.15,382.13,355.58,133.8,379.93,93.64
2018-08-19 17:00,318.68,121.21,340.96,321.45,121.11,343.52,93.55
2018-08-19 18:00,339.89,135.06,365.75,338.64,133.92,364.17,92.94
2018-08-19 19:00,310.6,124.04,334.46,310.97,124.08,334.81,93.2
2018-08-19 20:00,303.84,125.66,328.81,305.23,125.7,330.11,92.11
2018-08-19 21:00,306.56,126.62,331.69,307.39,126.65,332.47,92.33
2018-08-19 22:00,305.69,133.54,333.6,305.84,132.28,333.23,91.63
2018-08-19 23:00,280.14,121.53,305.37,280.74,122.19,306.19,91.39
2018-08-20 0:00,281.1,123.07,306.86,281.69,123.67,307.66,92.35
2018-08-20 1:00,296.8,125.3,322.17,294.51,124.28,319.67,92.02
2018-08-20 2:00,266.22,121.02,292.45,268.15,121.69,294.49,91.14
2018-08-20 3:00,272.63,121.32,298.41,271.78,120.95,297.48,91.5
2018-08-20 4:00,277.12,117.44,300.99,276.42,117.9,300.53,92.19
