Time,Steam mass,kWh
2018-08-19 0:00,0,0
2018-08-19 1:00,0,0
2018-08-19 2:00,0,0
2018-08-19 3:00,0,0
2018-08-19 4:00,0,0
2018-08-19 5:00,0,0
2018-08-19 6:00,0,0
2018-08-19 7:00,0.5,0.32262692
2018-08-19 8:00,0,0
2018-08-19 9:00,0,0
2018-08-19 10:00,0,0
2018-08-19 11:00,0.5,0.32262692
2018-08-19 12:00,0,0
2018-08-19 13:00,0,0
2018-08-19 14:00,0,0
2018-08-19 15:00,0,0
2018-08-19 16:00,0,0
2018-08-19 17:00,0,0
2018-08-19 18:00,0.5,0.32262692
2018-08-19 19:00,0,0
2018-08-19 20:00,0,0
2018-08-19 21:00,0,0
2018-08-19 22:00,0,0
2018-08-19 23:00,0.5,0.32262692
2018-08-20 0:00,0,0
2018-08-20 1:00,0,0
2018-08-20 2:00,0,0
2018-08-20 3:00,0,0
2018-08-20 4:00,0,0
2018-08-20 5:00,0,0
2018-08-20 6:00,0.5,0.32262692
2018-08-20 7:00,0,0
2018-08-20 8:00,0.5,0.32262692
2018-08-20 9:00,0,0
2018-08-20 10:00,0,0
2018-08-20 11:00,0,0
2018-08-20 12:00,0,0
2018-08-20 13:00,0,0
2018-08-20 14:00,0.5,0.32262692
2018-08-20 15:00,0,0
2018-08-20 16:00,0,0
2018-08-20 17:00,0,0
2018-08-20 18:00,0,0
2018-08-20 19:00,0.5,0.32262692
2018-08-20 20:00,0,0
2018-08-20 21:00,0,0
2018-08-20 22:00,0,0
2018-08-20 23:00,0,0
2018-08-21 0:00,0.5,0.32262692
2018-08-21 1:00,0,0
2018-08-21 2:00,0,0
2018-08-21 3:00,0,0
2018-08-21 4:00,0.5,0.32262692
2018-08-21 5:00,0,0
2018-08-21 6:00,0,0
2018-08-21 7:00,0,0
2018-08-21 8:00,0,0
2018-08-21 9:00,0,0
2018-08-21 10:00,0.5,0.32262692
2018-08-21 11:00,0,0
2018-08-21 12:00,0,0
2018-08-21 13:00,0,0
2018-08-21 14:00,0,0
2018-08-21 15:00,0,0
2018-08-21 16:00,0.5,0.32262692
2018-08-21 17:00,0,0
2018-08-21 18:00,0,0
2018-08-21 19:00,0,0
2018-08-21 20:00,0.5,0.32262692
2018-08-21 21:00,0,0
2018-08-21 22:00,0,0
2018-08-21 23:00,0,0
2018-08-22 0:00,0,0
2018-08-22 1:00,0.5,0.32262692
2018-08-22 2:00,0,0
2018-08-22 3:00,0,0
2018-08-22 4:00,0,0
2018-08-22 5:00,0.5,0.32262692
2018-08-22 6:00,0,0
2018-08-22 7:00,0,0
2018-08-22 8:00,0,0
2018-08-22 9:00,0,0
2018-08-22 10:00,0.5,0.32262692
2018-08-22 11:00,0,0
2018-08-22 12:00,0,0
2018-08-22 13:00,0,0
2018-08-22 14:00,0,0
2018-08-22 15:00,0,0
2018-08-22 16:00,0,0
2018-08-22 17:00,0.5,0.32262692
2018-08-22 18:00,0,0
2018-08-22 19:00,0,0
2018-08-22 20:00,0,0
2018-08-22 21:00,0,0
2018-08-22 22:00,0,0
2018-08-22 23:00,0.5,0.32262692
2018-08-23 0:00,0,0
2018-08-23 1:00,0,0
2018-08-23 2:00,0,0
2018-08-23 3:00,0,0
2018-08-23 4:00,0.5,0.32262692
2018-08-23 5:00,0,0
2018-08-23 6:00,0,0
2018-08-23 7:00,0,0
2018-08-23 8:00,0,0
2018-08-23 9:00,0,0
2018-08-23 10:00,0,0
2018-08-23 11:00,0,0
2018-08-23 12:00,0,0
2018-08-23 13:00,0,0
2018-08-23 14:00,0,0
2018-08-23 15:00,0,0
2018-08-23 16:00,0.5,0.32262692
2018-08-23 17:00,0,0
2018-08-23 18:00,0,0
2018-08-23 19:00,0,0
2018-08-23 20:00,0,0
2018-08-23 21:00,0.5,0.32262692
2018-08-23 22:00,0,0
2018-08-23 23:00,0,0
2018-08-24 0:00,0,0
2018-08-24 1:00,0,0
2018-08-24 2:00,0,0
2018-08-24 3:00,0,0
2018-08-24 4:00,0,0
2018-08-24 5:00,0,0
2018-08-24 6:00,0,0
2018-08-24 7:00,0,0
2018-08-24 8:00,0,0
2018-08-24 9:00,0.5,0.32262692
2018-08-24 10:00,0,0
2018-08-24 11:00,0,0
2018-08-24 12:00,0,0
2018-08-24 13:00,0,0
2018-08-24 14:00,0,0
2018-08-24 15:00,0,0
2018-08-24 16:00,0,0
2018-08-24 17:00,0,0
2018-08-24 18:00,0,0
2018-08-24 19:00,0.5,0.32262692
2018-08-24 20:00,0,0
2018-08-24 21:00,0,0
2018-08-24 22:00,0,0
2018-08-24 23:00,0,0
2018-08-25 0:00,0.5,0.32262692
2018-08-25 1:00,0,0
2018-08-25 2:00,0,0
2018-08-25 3:00,0,0
2018-08-25 4:00,0,0
2018-08-25 5:00,0,0
2018-08-25 6:00,0,0
2018-08-25 7:00,0,0
2018-08-25 8:00,0,0
2018-08-25 9:00,0,0
2018-08-25 10:00,0.5,0.32262692
2018-08-25 11:00,0,0
