Time,RM1,RM2,RM3,RM4,RM5,RM6,RM7,RM8,RM9,RM10,RM11,RM12,RM13,RM14,RM15,RM16,RM17,RM18,RM19,RM20,RM21,RM22,RM23,RM24,RM25,RM26,RM27,RM28,RM29,RM30,RM31,RM32,RM33,RM34,RM35,RM36,RM37,RM38,RM39,RM40,RM41,RM42,RM43,RM44,RM45,RM46,RM47,RM48,RM49,RM50,RM51,RM52,RM53,RM54,RM55,RM56,RM57,RM58,RM59,RM60,RM61,RM62,RM63,RM64,RM65,RM66,RM67,RM68,RM69,RM70,RM71,RM72,RM73,RM74,RM75,RM76,RM77,RM78,RM79,RM80,RM81,RM82,RM83,RM84,RM85,RM86,RM87,RM88,RM89,RM90,RM91,RM92,RM93,RM94,RM95,RM96,RM97,RM98,RM99,RM100,RM101,RM102,RM103,RM104,RM105,RM106,RM107,RM108,RM109,RM110,RM111,RM112,RM113,RM114,RM115,RM116,RM117,RM118,RM119,RM120,RM121,RM122,RM123,RM124,RM125
2018-08-19 0:00,709.74,751.55,735.14,735.29,590.38,535.48,587.16,552.28,625.64,694.02,561.56,657.68,643.61,648.4,500.02,660.61,577.09,590.4,734.65,616.09,532.84,564.98,593.55,569.86,736.25,598.39,550.72,657.88,746.37,690.99,675.85,729.67,531.09,614.98,578.68,622.45,615.46,553.01,553.04,543.09,595.85,541.64,569.46,640.2,548.77,600.32,559.12,578.17,928.55,571.81,536.65,648.4,590.96,587.45,565.18,597.02,682.18,967.81,569.77,634.33,623.3,639.8,562.81,581.9,468.45,652.8,530.5,442.69,547.99,673.99,502.66,803.22,507.55,620.56,527.47,549.35,627.59,690.7,561.37,524.64,630.43,379.98,541.15,653.17,677.98,756.53,513.99,750.48,702.79,661.56,681.78,566.15,519.27,700.85,677.01,549.46,581.68,604.82,456.24,513.8,604.61,592.43,514.29,500.71,636.29,608.16,642.05,580.58,809.17,758.85,723.71,754.73,799.88,626.16,520.59,479.5,537.49,447.52,392.59,556.29,637.44,572.33,572.32,607.73,776.03
2018-08-19 1:00,713.06,757.7,736.51,742.37,589.79,535.29,590.18,553.85,626.52,694.02,521.81,659.83,637.07,644.49,501,664.92,575.73,585.71,735.43,620,540.85,566.15,595.48,573.96,736.42,607.56,558.93,669.01,743.25,692.75,673.41,730.16,534.99,619.25,579.13,630.92,625.6,562.02,561.89,545.73,595.85,541.64,569.46,644.2,552.36,602.49,563.13,568.3,934.41,575.13,540.67,653.87,590.38,592.92,569.38,600.93,687.57,977.19,574.65,637.85,625.64,648.35,567.19,590.82,470.41,661.39,533.04,445.13,549.65,682.39,512.03,807.72,513.02,624.78,531.48,554.43,631.4,695.58,570.94,530.89,635.7,379.98,537.34,654.93,681.3,764.05,515.95,756.43,706.69,669.09,687.07,570.07,513.99,699.38,684.13,562.15,586.08,617.34,468.86,518.19,605.62,600.31,518.27,507.94,642.34,615.58,649.57,590.36,815.26,766.13,729.59,761.64,805.86,630.91,523.97,485.02,543.22,456.88,398.4,563.86,659.88,580.5,580.4,616.1,777.2
2018-08-19 2:00,714.92,754.77,740.71,746.3,588.82,532.84,585.01,555.6,607.18,694.02,503.64,663.35,640.39,643.91,502.56,664.71,575.92,581.49,737.88,622.12,542.42,567.91,599.54,574.54,739.35,607.37,561.86,674.87,747.35,693.63,676.92,724.79,535.19,624.14,580.53,631.23,624.3,565.31,564.94,547.5,595.85,541.64,569.46,638.44,553.34,606.69,568.69,566.15,937.92,573.03,542.6,654.94,589.5,589.4,566.94,599.56,685.71,971.92,573.68,636.29,625.25,644.2,568.28,590.48,472.77,662.95,534.41,446.1,544.57,682.59,509.87,802.54,515.75,627.3,529.13,551.11,629.06,693.33,569.57,530.5,636.29,379.98,539.68,655.91,684.62,770.11,523.47,759.95,710.89,670.49,687.07,569.43,513.41,695.48,686.79,564.1,591.45,621.73,473.26,521.12,606.84,607.76,520.66,501.59,641.97,616.84,648.88,588,814.24,764.69,726.52,760.36,804.4,634.26,524.35,485.99,545.19,459.14,397.53,560.7,659.77,578.56,578.35,617.86,776.4
2018-08-19 3:00,719.32,757.41,745.79,758,587.25,530.5,589.21,555.41,600.05,694.02,489.87,661.16,641.56,643.91,500.32,665.3,575.14,578.93,737.97,624.1,542.52,567.23,597.39,573.76,739.73,606.4,563.52,675.26,747.94,695.78,677.31,726.25,536.75,623.29,581.76,635.78,626.5,564.44,564.43,546.41,595.85,541.64,569.46,637.26,552.09,607.08,567.52,567.91,939.68,575.32,545.34,657.87,588.72,591.55,569.57,603.57,691.77,967.23,576.61,639.22,627.69,650.31,568.84,591.93,475.29,665.1,534.21,446.1,543.3,679.66,508.51,799.95,514.97,628.18,530.5,553.65,628.38,697.05,570.06,532.26,638.05,379.98,543.04,656.11,685.99,781.44,529.72,762.49,715.68,670.18,689.21,568.16,512.82,695.48,687.67,563.61,591.94,619.78,471.22,521.61,609.52,604.15,520.64,506.96,642.73,618.8,649.31,592.5,815.64,766.14,729.49,759.61,806.15,633,526.14,486.91,544.99,462.21,397.76,560.44,662.54,581.71,581.7,620.33,777.05
2018-08-19 4:00,722.44,758.78,748.72,763.86,588.42,532.26,590.18,559.51,596.43,694.02,483.22,662.56,641.95,648.6,507.92,664.91,575.14,578.56,740.51,625.45,545.84,571.14,600.54,574.74,737.97,611.95,563.42,677.7,749.6,698.12,678.68,726.25,535.97,626.45,583.49,635.9,627.27,565.5,565.91,549.07,595.85,541.64,569.46,642.34,557.36,611.09,569.38,569.96,939.68,578.06,545.46,662.17,589.79,595.65,574.09,608.84,696.17,968.99,578.36,645.67,633.75,650.62,572.58,596.71,479.64,669.79,538.51,450.01,545.93,686.5,511.59,806.06,520.24,631.7,536.17,558.14,633.46,702.61,574.46,535.97,642.34,379.98,543.1,660.99,687.75,786.81,536.56,769.91,718.63,676.7,694.19,572.96,515.95,696.95,693,566.3,594.87,622.71,473.21,524.79,615.87,608.79,525.52,510.38,647.72,622.32,657.26,595.25,823.46,768.6,746.99,764.25,811.23,638.42,529.7,486.84,549.75,462.85,401.63,565.56,668,584.09,584.26,627.94,781.95
2018-08-19 5:00,727.81,761.9,758.58,770.94,592.53,534.8,588.42,563.91,599.36,694.02,477.05,666.08,647.13,651.92,509.89,667.16,574.95,572.5,741.88,630.04,546.03,574.46,602.84,576.5,741.29,613.53,569.67,677.9,753.6,698.12,675.26,727.72,537.73,631.35,585.57,635.78,629.17,569.73,570.08,551.37,595.85,541.64,569.46,640.59,558.93,613.14,572.7,571.72,939.68,579.58,550.42,665.89,594.87,601.51,577.97,611.18,697.53,959.02,582.37,649.28,629.16,653.97,574.53,600.14,484.57,671.84,542.42,453.14,550.13,686.5,498.84,809.57,522.59,633.75,535.97,558.53,635.88,706.13,577.97,540.85,645.86,379.98,545.3,665.29,689.9,792.28,540.66,774.11,723.36,682.17,699.46,573.4,518.29,697.92,695.4,570.45,597.8,627.59,476.68,530.89,621.25,615.87,527.96,510.87,652.19,624.81,656.97,599.94,824.43,773.27,747.55,768.17,814.45,643.68,535.45,493.92,549,462.67,405.37,569.23,673.16,587.53,587.62,631.11,787.09
2018-08-19 6:00,739.15,767.47,766.4,789.74,594.09,539.29,594.38,565.37,602.69,694.02,480.59,669.21,649.18,653.58,512.22,669.99,578.66,575.63,744.42,631.21,549.35,575.63,604.05,582.32,744.03,615.75,571.14,683.86,758.49,701.64,674.97,729.26,540.07,632.78,587.84,640.4,632.14,575.6,575.58,554.15,595.85,541.64,569.46,638.24,558.73,616.65,573.58,574.65,937.92,571.98,551.98,668.03,597.22,599.95,581.29,613.33,700.27,949.65,586.57,651.82,624.08,655.43,577.28,599.17,487.5,676.53,548.08,455.09,554.82,688.45,495.71,809.59,525.42,636.87,537.14,559.51,637.85,705.95,578.95,540.66,646.64,379.98,550.43,664.51,694.39,791.31,542.22,775.97,723,681.98,701.22,573.22,521.22,705.74,699.5,575.32,596.84,630.28,478.14,532.36,623.69,619.29,530.89,513.8,656.84,627.34,658.07,599.61,826.38,773.44,749.79,770.04,814.82,647.29,535.37,495.67,553.35,465.82,405.29,568.99,671.78,587.91,588.07,635.8,788.85
2018-08-19 7:00,738.95,773.92,762,781.44,598.58,541.25,599.46,565.96,600.54,694.02,486.45,669.5,651.04,653.28,513.97,669.79,578.07,578.95,747.35,633.75,550.33,578.17,604.74,581.59,744.22,617.89,581.29,684.44,756.04,703.39,677.51,730.65,541.25,632.3,589.62,642.97,622.72,573.27,572.97,554.8,595.85,541.64,569.46,636.48,558.73,620.76,573.38,575.43,934.99,571.76,551.09,669.11,598.39,601.12,577.97,613.24,701.64,946.13,581.98,653.19,624.08,656.28,577.28,602.03,484.57,677.12,549.06,458.9,556.97,688.94,496.49,809.52,525.23,633.75,535.19,560.49,635.51,705.37,580.12,538.71,643.13,379.98,547.5,665.77,697.88,795.21,543.79,774.51,727.6,681.98,702.59,575.83,521.81,697.44,700.18,573.87,601.71,629.81,479.12,535.29,625.64,621.74,531.38,515.26,655.28,623,657.2,599.76,825.68,775.41,747.12,766.87,812.9,647.97,535.62,494.97,553.69,468.19,406.02,565.81,672.44,588.45,588.64,633.03,785.69
2018-08-19 8:00,730.45,775.19,754.68,766.79,600.34,544.08,592.43,563.81,607.28,694.02,494.26,675.56,653.19,651.23,510.96,670.58,586.37,586.51,746.76,631.7,547.5,576.61,603.47,582.95,751.31,618.21,595.46,683.76,755.07,703.2,686.5,729.71,543.49,633.44,590.7,649.45,615.96,565.23,565.1,551.25,595.85,541.64,569.46,637.56,554.82,620.76,569.87,573.87,933.24,571.11,548.93,666.47,590.28,597.02,576.02,612.36,699.29,947.3,559.22,653.28,622.91,655.92,576.69,596.92,478.22,666.18,546.91,457.63,553.06,686.3,494.54,806.24,519.07,633.36,534.6,557.75,632.48,703.59,577.19,541.15,640.2,379.98,551.87,665.88,697.27,788.38,541.54,774.99,722.18,678.66,697.31,565.33,522.49,698.9,701.49,571.43,601.23,631.01,480.59,538.22,628.67,620.26,538.22,508,648.89,613.43,653.98,596.15,822.91,770.9,745.96,764.93,812,648.88,533.9,493.91,552.1,472.88,405.29,558.73,664.88,585.02,584.89,620.31,770.78
2018-08-19 9:00,720.49,771.97,744.42,749.41,602.49,548.38,584.71,559.9,617.04,694.02,512.23,682.39,646.15,639.8,501.69,671.26,598.19,594.36,738.75,626.91,547.4,572.7,596.83,582.73,757.76,622.31,584.32,689.23,746.37,704.57,693.04,730.62,549.94,633.12,592.31,651.71,608.51,552.33,552.15,540.97,595.85,541.64,569.46,626.52,549.94,619.39,560.78,567.23,930.89,556.49,536.25,654.26,576.41,589.3,571.33,602.59,692.65,945.54,547.99,645.27,615.07,646.15,568.97,585.29,468.47,649.67,537.53,448.25,545.54,678.68,486.26,798.14,508.82,625.35,528.25,547.4,622.91,693.43,568.4,527.96,630.33,379.98,550.92,660.21,695.37,770.79,532.84,763.47,711.08,669.37,688.16,552.33,518.49,699.63,692.14,568.25,594.38,625.64,476.68,529.91,621.73,614.41,535.29,498.17,638.44,600.15,642.81,588.52,812.59,763.1,736.99,753.93,802.6,642.93,524.73,484.21,544.77,471.11,396.38,554.33,651.54,572.88,572.82,596.44,747.9
