Time,CS_TX6AA1_Instantaneous_Real_Power_3_Phase_Total__TL,CS_TX6AA3_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_TX6AA4_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_TX6AA7_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CD_TX6AA6_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_TX6AA5_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_LP6AA2_Instantaneous_Real_Power_3_Phase_Total__TL,CS_LP6AA1_Instantaneous_Real_Power_3_Phase_Total__TL,CS_LP6AA3_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_LP6AA4_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_LP6AA7_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_LP6AA6_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_LP6AA5_Total_Instantaneous_Real_Power_3_Phase_Total_TL,CS_AHU_RF1_VSD_Input_Power_KW_TL,CS_AHU_SF1_VSD_VSD_Input_Power_KW_TL,CS_AHU_RF2_Input_Power_KW_TL,CS_AHU_SF2_Input_Power_KW_TL,CS_AHU_EF4_Input_Power_KW_TL,CS_AHU_EF5_Input_Power_KW_TL,CS_EF6_VSD_Input_Power_KW_TL
2019-08-18 0:00,0.62,0.25,0.49,0.58,0.3,0.26,4.1,1.75,2.27,3.41,0.86,5.4,2.04,0.36,1.61,0,0,0.31,0.48,0.23
2019-08-18 1:00,0.62,0.29,0.48,0.58,0.34,0.25,3.9,1.75,1.62,2.77,1.19,5.39,2.05,1,7.17,0,0,0.35,0.51,0.24
2019-08-18 2:00,0.62,0.27,0.49,0.59,0.34,0.25,3.82,1.75,0.62,2.71,2.11,5.41,2.05,1.06,8.31,0,0,0.35,0.51,0.24
2019-08-18 3:00,0.62,0.27,0.49,0.58,0.34,0.28,3.81,1.75,0.17,2.71,1.46,5.41,2.06,1.08,8.28,0,0,0.35,0.51,0.25
2019-08-18 4:00,0.62,0.27,0.49,0.6,0.34,0.27,3.87,1.75,0.17,2.71,0.91,5.43,2.06,1.07,8.32,0,0,0.35,0.5,0.26
2019-08-18 5:00,0.61,0.27,0.48,0.59,0.34,0.26,3.67,1.75,0.17,2.71,0.91,5.36,2.06,1.07,8.26,0,0,0.35,0.48,0.25
2019-08-18 6:00,0.57,0.28,0.48,0.57,0.37,0.25,4.31,1.75,0.51,2.67,0.91,5.32,2.06,1.06,8.28,0,0,0.35,0.49,0.24
2019-08-18 7:00,0.54,0.27,0.49,0.58,0.39,0.26,5.41,1.75,0.66,2.88,0.91,5.24,2.13,1.07,8.25,0,0,0.38,0.5,0.24
2019-08-18 8:00,0.55,0.26,0.49,0.61,0.4,0.27,7.1,1.75,1.17,2.92,0.95,5.27,2.16,1.66,10.42,2.72,9.42,0.42,0.51,0.24
2019-08-18 9:00,0.54,0.26,0.47,0.59,0.42,0.25,6.75,1.75,1.78,2.58,1.02,5.26,2.07,1.97,12.28,4.56,11.43,0.34,0.5,0.23
2019-08-18 10:00,0.55,0.26,0.48,0.58,0.43,0.25,6.3,1.75,2.97,2.51,1.39,5.28,2.06,1.88,11.89,4.1,10.92,0.35,0.51,0.23
2019-08-18 11:00,0.54,0.27,0.53,0.6,0.47,0.25,6.33,1.75,2.79,2.92,1.83,5.24,2.06,1.52,12.18,3.69,10.46,0.33,0.5,0.24
2019-08-18 12:00,0.54,0.26,0.52,0.58,0.48,0.25,7.23,1.75,2.33,3.28,1.85,5.32,2.03,0.83,13.05,1.2,11.44,0.39,0.51,0.23
2019-08-18 13:00,0.55,0.27,0.51,0.63,0.56,0.25,7.79,1.75,4,3.19,1.95,5.36,1.95,0.82,13.2,1.11,12.61,0.29,0.49,0.23
2019-08-18 14:00,0.55,0.26,0.52,0.6,0.56,0.26,7.17,1.75,3.78,3.2,1.95,5.42,1.91,0.79,13.43,1.04,13.51,0.35,0.49,0.23
2019-08-18 15:00,0.55,0.26,0.52,0.62,0.48,0.26,7.88,1.75,3.37,3.49,1.85,5.33,2.01,0.79,13.58,0.98,13.91,0.38,0.52,0.23
2019-08-18 16:00,0.56,0.27,0.53,0.59,0.56,0.27,8.69,1.75,4.35,4.16,1.96,5.41,2.21,0.84,12.92,1.12,12.61,0.42,0.49,0.25
2019-08-18 17:00,0.57,0.27,0.53,0.64,0.55,0.26,7.55,1.75,4.43,4.23,1.92,5.51,2.08,0.07,0.99,0.08,0.86,0.32,0.49,0.23
2019-08-18 18:00,0.56,0.27,0.53,0.59,0.56,0.26,7.27,1.74,4.38,4.05,1.91,5.57,2.37,0,0,0,0,0.38,0.49,0.22
2019-08-18 19:00,0.58,0.27,0.54,0.59,0.4,0.27,7.18,1.75,3.44,3.69,1.46,5.36,2.27,0,0,0,0,0.35,0.49,0.25
2019-08-18 20:00,0.61,0.29,0.5,0.58,0.31,0.26,6.96,1.74,3.14,3.75,1.17,5.35,2.14,0,0,0,0,0.4,0.48,0.26
2019-08-18 21:00,0.63,0.28,0.48,0.59,0.23,0.26,6.34,1.74,3.11,3.32,1.07,5.3,2.11,0,0,0,0,0.37,0.49,0.25
2019-08-18 22:00,0.62,0.31,0.48,0.58,0.46,0.26,5.89,1.74,3.6,2.7,0.92,5.38,2.05,1.02,7.09,0,0,0.4,0.5,0.24
2019-08-18 23:00,0.62,0.29,0.48,0.57,0.48,0.25,6.6,1.75,3.17,2.59,1.13,5.28,2.05,1.06,8.42,0,0,0.35,0.51,0.26
2019-08-19 0:00,0.61,0.26,0.49,0.59,0.39,0.27,6.69,1.75,2.74,2.73,1.47,5.28,2.23,1.07,8.29,0,0,0.37,0.49,0.25
2019-08-19 1:00,0.62,0.26,0.51,0.59,0.37,0.25,4.62,1.75,1.79,3.07,1.1,5.28,2.08,1.07,8.27,0,0,0.38,0.48,0.25
2019-08-19 2:00,0.62,0.27,0.49,0.56,0.34,0.25,3.76,1.75,1.74,2.66,0.86,5.32,2.06,1.08,8.23,0,0,0.35,0.48,0.24
2019-08-19 3:00,0.6,0.27,0.49,0.57,0.34,0.28,3.89,1.75,1.48,2.59,0.36,5.43,2.06,1.07,8.27,0,0,0.36,0.49,0.24
2019-08-19 4:00,0.62,0.26,0.49,0.59,0.34,0.27,7.68,1.75,1.15,2.58,0.74,5.42,2.06,1.07,8.31,0,0,0.35,0.5,0.24
2019-08-19 5:00,0.6,0.29,0.49,0.6,0.34,0.26,6.65,1.75,3.5,2.78,0.91,5.37,2.06,1.06,8.32,0,0,0.37,0.5,0.25
2019-08-19 6:00,0.57,0.27,0.5,0.59,0.61,0.27,4.78,1.75,3.75,2.93,0.78,5.42,2.2,1.07,8.38,0,0,0.44,0.48,0.23
2019-08-19 7:00,0.57,0.25,0.51,0.57,0.81,0.25,4.78,1.75,2.48,2.92,0.43,5.47,2.06,1.71,11.44,4.16,12.37,0.33,0.49,0.25
2019-08-19 8:00,0.59,0.25,0.52,0.61,0.55,0.26,6,1.75,3.2,3.02,2.1,5.43,2.17,1.49,12.44,5,11.57,0.37,0.49,0.24
2019-08-19 9:00,0.61,0.28,0.51,0.68,0.62,0.26,6.97,1.75,3.27,3.17,3.3,5.48,2.21,0.85,12.81,1.78,11.98,0.33,0.5,0.23
2019-08-19 10:00,0.7,0.31,0.55,0.72,0.85,0.29,8.68,1.75,3.98,3.81,4.89,5.73,2.36,0.83,13.55,1.08,13.88,0.37,0.5,0.24
2019-08-19 11:00,0.69,0.34,0.62,0.76,0.98,0.27,7.32,1.75,3.95,3.83,5.09,5.94,2.2,0.74,14.98,0.87,16.25,0.39,0.51,0.23
2019-08-19 12:00,0.69,0.33,0.59,0.83,1.03,0.3,7.17,1.75,4.23,3.62,5.01,6.06,2.25,0.69,16.03,0.8,17.24,0.37,0.49,0.23
2019-08-19 13:00,0.73,0.31,0.59,0.74,1.1,0.31,7.44,1.47,4.09,3.73,5.07,6.05,2.37,0.74,16.1,0.8,17.55,0.35,0.48,0.24
2019-08-19 14:00,0.8,0.31,0.62,0.8,1.24,0.3,8.61,0.86,3.88,3.79,5.06,6.1,2.3,0.73,15.94,0.79,18.14,0.35,0.49,0.21
2019-08-19 15:00,0.84,0.36,0.58,0.79,1.2,0.3,8.44,0.86,3.87,3.71,4.76,6.32,2.32,0.81,14.63,0.8,17.17,0.33,0.49,0.22
2019-08-19 16:00,0.73,0.34,0.55,0.73,1.2,0.29,8.16,0.86,3.5,3.55,4.45,6.11,2.21,0.86,13.43,0.84,16.28,0.3,0.5,0.23
2019-08-19 17:00,0.66,0.3,0.54,0.7,1.03,0.29,7.52,0.86,3.03,3.46,4.44,5.95,2.15,0.85,13.71,0.76,17.38,0.37,0.5,0.24
2019-08-19 18:00,0.65,0.3,0.54,0.66,0.89,0.3,6.76,0.86,3.62,3.48,4.18,5.82,2,0.71,15.76,0.69,17.55,0.37,0.5,0.23
2019-08-19 19:00,0.64,0.3,0.53,0.62,0.61,0.29,4.53,0.86,2.97,3.71,3.34,5.68,2.1,0.65,15.85,0.81,16.02,0.32,0.5,0.24
2019-08-19 20:00,0.66,0.29,0.51,0.63,0.53,0.28,4.25,0.86,3.08,3.43,2.85,5.56,2.34,0.44,7.23,0.61,8.28,0.33,0.49,0.21
2019-08-19 21:00,0.71,0.27,0.51,0.59,0.45,0.27,6.09,0.86,3.06,3.02,2.2,5.55,1.32,0,0,0,0,0.37,0.5,0.24
2019-08-19 22:00,0.7,0.26,0.5,0.6,0.39,0.27,5.01,0.86,1.09,2.77,0.86,5.47,1.98,0,0,0,0,0.32,0.49,0.25
2019-08-19 23:00,0.62,0.26,0.5,0.61,0.38,0.26,5.2,0.86,0.69,2.83,0.87,5.46,2.2,0,0,0,0,0.38,0.49,0.23
2019-08-20 0:00,0.63,0.26,0.5,0.6,0.14,0.26,4.37,0.86,0.84,2.98,0.75,5.28,2.23,0,0,0,0,0.37,0.48,0.22
2019-08-20 1:00,0.64,0.26,0.48,0.61,0.13,0.25,5.04,0.86,0.71,2.64,0.81,5.31,1.01,0,0,0,0,0.38,0.5,0.23
2019-08-20 2:00,0.61,0.26,0.49,0.6,0.06,0.25,6.3,0.86,3.35,2.64,0.29,5.28,0.92,0.14,0.45,0,0,0.34,0.48,0.23
2019-08-20 3:00,0.63,0.27,0.49,0.57,0.17,0.28,4.09,0.86,3.8,2.86,0.25,5.45,0.92,0.18,0.97,0,0,0.36,0.49,0.24
2019-08-20 4:00,0.62,0.26,0.5,0.57,0.52,0.28,3.37,0.86,2.11,2.93,0.25,5.55,1.06,0.25,0.86,0,0,0.34,0.49,0.23
2019-08-20 5:00,0.61,0.27,0.5,0.58,0.95,0.26,3.64,0.86,1.45,2.93,0.25,5.71,0.99,0.19,0.78,0,0,0.36,0.49,0.24
2019-08-20 6:00,0.61,0.26,0.48,0.58,0.63,0.26,4.9,0.86,1.5,2.61,0.77,5.5,0.92,0.1,0.27,0,0,0.38,0.5,0.24
2019-08-20 7:00,0.55,0.25,0.48,0.61,0.45,0.25,5.07,0.86,1.4,2.57,1.75,5.39,0.93,1.87,8.96,3.52,11.95,0.36,0.49,0.22
2019-08-20 8:00,0.6,0.26,0.48,0.62,0.55,0.26,4.97,0.86,2.26,2.75,3.14,5.52,1.05,2.3,12.97,4.5,10.98,0.37,0.49,0.23
2019-08-20 9:00,0.61,0.3,0.55,0.65,0.73,0.28,5.88,0.86,3.68,3.67,3.41,5.83,1.2,2.67,13.47,4.91,11.97,0.33,0.48,0.21
2019-08-20 10:00,0.68,0.37,0.56,0.71,0.93,0.29,6.87,0.86,4.19,3.97,4.72,5.99,1.27,1.03,16.42,2.21,14.36,0.38,0.47,0.23
2019-08-20 11:00,0.67,0.38,0.61,0.8,0.89,0.32,5.52,0.86,4.53,3.94,5.11,6.12,1.29,0.57,18.03,0.96,15.21,0.36,0.49,0.25
2019-08-20 12:00,0.69,0.35,0.62,0.81,0.83,0.3,5.82,0.93,4.67,3.84,5.16,5.98,2.02,0.59,17.56,1.02,15.37,0.38,0.49,0.24
2019-08-20 13:00,0.72,0.34,0.6,0.75,1.03,0.33,8.24,1.34,4.4,3.82,5.27,6.18,2.26,0.7,16.5,1.06,14.05,0.34,0.48,0.24
2019-08-20 14:00,0.71,0.36,0.59,0.81,1.09,0.31,7.65,0.86,5.39,3.69,5.62,6.25,2.27,0.68,16.7,0.86,17.16,0.38,0.5,0.23
2019-08-20 15:00,0.72,0.37,0.56,0.78,1.12,0.31,8.55,0.86,5.08,3.62,5.35,6.22,2.27,0.7,16.37,0.87,16.87,0.35,0.52,0.21
2019-08-20 16:00,0.67,0.32,0.56,0.72,1.09,0.3,7.57,0.86,4.69,3.56,5.39,6.05,2.19,0.77,14.94,1.04,14.58,0.32,0.5,0.2
2019-08-20 17:00,0.6,0.3,0.54,0.7,0.93,0.31,6.82,0.86,4.89,3.39,5.3,5.88,1.85,0.79,14.6,0.94,14.6,0.33,0.52,0.21
2019-08-20 18:00,0.6,0.29,0.52,0.69,0.9,0.31,6.66,0.86,5.24,3.4,5.1,5.75,1.3,0.79,14.55,0.87,16.18,0.35,0.52,0.22
2019-08-20 19:00,0.58,0.29,0.5,0.61,0.65,0.29,6.55,0.86,3.64,3.63,2.42,5.53,1.92,0.76,14.93,0.94,15.03,0.31,0.51,0.22
2019-08-20 20:00,0.64,0.31,0.5,0.61,0.46,0.27,6.27,0.86,3.38,3.93,2.3,5.43,1.91,0.45,7.24,0.5,8.17,0.37,0.51,0.25
2019-08-20 21:00,0.66,0.31,0.49,0.63,0.38,0.25,5.8,0.86,3.28,3.75,1.87,5.41,1.82,0,0,0,0,0.35,0.5,0.22
2019-08-20 22:00,0.64,0.32,0.49,0.58,0.38,0.25,4.22,0.86,1.64,3.64,0.26,5.4,1.82,0,0,0,0,0.41,0.5,0.21
2019-08-20 23:00,0.64,0.31,0.47,0.62,0.16,0.25,4.71,0.86,0.71,2.89,0.64,5.3,1.82,0,0,0,0,0.37,0.51,0.23
2019-08-21 0:00,0.64,0.31,0.48,0.59,0.15,0.26,4.03,0.86,0.28,2.89,0.79,5.21,1.97,0,0,0,0,0.42,0.5,0.22
2019-08-21 1:00,0.62,0.31,0.5,0.6,0.09,0.25,3.41,0.86,0.24,3.04,0.27,5.24,1.82,0,0,0,0,0.34,0.51,0.24
2019-08-21 2:00,0.64,0.28,0.47,0.6,0.19,0.25,3.81,0.86,0.83,2.58,0.25,5.32,1.82,0.29,1.12,0,0,0.38,0.5,0.22
2019-08-21 3:00,0.64,0.29,0.47,0.58,0.33,0.28,4.33,0.86,0.93,2.74,0.25,5.52,1.82,0.2,0.33,0,0,0.37,0.5,0.23
2019-08-21 4:00,0.65,0.27,0.49,0.59,0.67,0.28,4.21,0.86,1.08,3.6,0.5,5.64,1.92,0.09,0.32,0,0,0.38,0.51,0.21
2019-08-21 5:00,0.64,0.26,0.48,0.57,0.75,0.25,3.56,0.86,0.26,3.48,0.71,5.56,1.82,0.19,0.56,0,0,0.37,0.53,0.22
2019-08-21 6:00,0.59,0.25,0.49,0.58,0.37,0.25,3.6,0.86,0.78,2.96,0.25,5.41,1.82,0.21,0.45,0,0,0.32,0.5,0.22
2019-08-21 7:00,0.58,0.27,0.49,0.62,0.52,0.26,4.25,0.86,1.98,2.97,1.69,5.43,1.86,2.35,10.05,3.48,13.96,0.38,0.51,0.23
2019-08-21 8:00,0.58,0.26,0.5,0.6,0.56,0.26,5.07,0.86,2.08,3.03,2.58,5.55,1.94,2.21,12.86,4.13,10.9,0.36,0.53,0.23
2019-08-21 9:00,0.63,0.3,0.56,0.69,0.63,0.27,6.96,0.86,2.44,3.68,3.5,5.55,2.08,1.88,11.97,4.41,10.9,0.35,0.52,0.22
2019-08-21 10:00,0.68,0.34,0.57,0.73,0.95,0.28,7.79,1.14,3.28,4.04,4.92,5.9,2.17,1.87,11.86,4.29,11.21,0.37,0.52,0.24
2019-08-21 11:00,0.66,0.36,0.56,0.76,1.14,0.28,7.03,1.75,3.48,3.85,5.17,6.22,2.2,1.14,12.78,3.16,13.2,0.39,0.52,0.22
2019-08-21 12:00,0.71,0.33,0.57,0.77,1.2,0.32,7.67,1.75,3.75,3.83,5.08,6.36,2.2,0.79,14.47,0.97,15.37,0.36,0.49,0.24
2019-08-21 13:00,0.79,0.34,0.55,0.74,1.22,0.3,8.72,1.75,4.56,3.69,4.92,6.36,2.15,0.75,16.14,1.19,12.74,0.39,0.49,0.24
2019-08-21 14:00,0.75,0.37,0.58,0.77,1.21,0.5,8.97,1.75,5.03,3.84,4.99,6.23,2.33,0.8,14.57,1.27,11.29,0.36,0.5,0.24
2019-08-21 15:00,0.73,0.35,0.56,0.73,1.2,0.63,9,1.75,3.75,3.55,4.94,6.29,1.68,0.84,14.39,1.21,11.62,0.36,0.5,0.23
2019-08-21 16:00,0.63,0.3,0.55,0.73,1.19,0.62,7.73,1.75,3.54,3.39,4.69,6.16,1.32,0.8,14.85,1.13,13.25,0.38,0.49,0.24
2019-08-21 17:00,0.58,0.26,0.52,0.7,1.1,0.61,6.75,1.75,4.14,3.7,4.27,6.21,1.86,0.86,13.62,1.21,11.31,0.35,0.49,0.23
2019-08-21 18:00,0.6,0.27,0.53,0.66,0.95,0.58,6.77,1.75,4.15,3.32,4.19,6.15,1.36,0.87,13.33,1.18,11.97,0.37,0.5,0.26
2019-08-21 19:00,0.59,0.26,0.52,0.66,0.59,0.58,5.59,1.75,2.45,3.87,3.1,5.79,1.59,0.83,13.51,1.16,11.19,0.35,0.5,0.27
2019-08-21 20:00,0.64,0.24,0.53,0.64,0.53,0.56,4.77,1.75,1.81,4.04,2.64,5.61,1.91,0.49,6.62,0.73,4.82,0.38,0.48,0.25
2019-08-21 21:00,0.65,0.25,0.51,0.62,0.4,0.56,4.12,1.74,1.3,3.72,2.54,5.53,1.9,0,0,0,0,0.29,0.48,0.25
2019-08-21 22:00,0.64,0.26,0.48,0.58,0.14,0.55,3.44,1.75,0.65,3.47,0.93,5.43,1.85,0,0,0,0,0.35,0.48,0.25
2019-08-21 23:00,0.63,0.24,0.48,0.57,0.32,0.56,3.77,1.75,0.65,3.39,1.26,5.53,1.94,0,0,0,0,0.37,0.47,0.24
