Time,RM1,RM2,RM3,RM4,RM5,RM6,RM7,RM8,RM9,RM10,RM11,RM12,RM13,RM14,RM15,RM16,RM17,RM18,RM19,RM20,RM21,RM22,RM23,RM24,RM25,RM26,RM27,RM28,RM29,RM30,RM31,RM32,RM33,RM34,RM35,RM36,RM37,RM38,RM39,RM40,RM41,RM42,RM43,RM44,RM45,RM46,RM47,RM48,RM49,RM50,RM51,RM52,RM53,RM54,RM55,RM56,RM57,RM58,RM59,RM60,RM61,RM62,RM63,RM64,RM65,RM66,RM67,RM68,RM69,RM70,RM71,RM72,RM73,RM74,RM75,RM76,RM77,RM78,RM79,RM80,RM81,RM82,RM83,RM84,RM85,RM86,RM87,RM88,RM89,RM90,RM91,RM92,RM93,RM94,RM95,RM96,RM97,RM98,RM99,RM100,RM101,RM102,RM103,RM104,RM105,RM106,RM107,RM108,RM109,RM110,RM111,RM112,RM113,RM114,RM115,RM116,RM117,RM118,RM119,RM120,RM121,RM122,RM123,RM124,RM125,RM126,RM127,RM128,RM129,RM130,RM131,RM132,RM133,RM134,RM135,RM136,RM137
2019-08-18 0:00,24.366,25.455,23.21,26.563,26.637,25.637,24.564,26.822,26.212,23.959,23.139,23.468,23.808,23.178,24.779,24.94,23.408,23.329,23.725,24.126,23.796,24.174,24.054,22.983,21.776,24.013,23.578,23.159,23.235,23.078,25.052,24.79,23.818,23.207,24.054,23.511,24.102,22.809,23.968,23.966,23.319,16.717,23.161,23.288,22.626,21.971,23.416,24.078,23.025,20.897,25.455,24.574,21.983,24.389,23.114,22.49,23.121,24.75,23.216,23.911,23.374,22.915,23.894,23.342,24.312,23.71,23.782,24.342,24.832,22.101,23.576,22.843,22.867,24.016,23.944,23.49,22.959,23.909,25.013,23.059,24.334,22.412,22.891,22.699,23.015,24.294,22,23.554,24.844,24.734,24.906,22.928,24.289,23.918,24.27,24.27,23.935,23.761,23.557,22.738,24.057,26.071,24.413,24.537,24.635,24.234,25.128,24.586,25.48,26.76,23.929,24.988,23.509,23.437,24.557,24.054,24.246,25.193,23.384,24.749,24.15,24.342,24.94,25.037,26.046,25.726,25.582,22.758,23.102,23.831,23.807,23.48,23.863,23.695,23.695,23.863,23.264
2019-08-18 1:00,24.366,25.246,23.162,25.763,25.745,24.535,24.008,25.357,25.382,23.671,22.307,22.738,23.21,23.082,23.706,24.126,23.025,22.653,23.581,23.853,23.06,23.604,23.623,22.271,19.771,23.774,23.183,22.823,22.953,23.078,24.41,24.383,23.518,22.936,22.989,23.211,24.006,22.809,23.008,22.795,22.994,16.575,22.841,22.442,21.062,20.049,22.69,24.078,23.025,20.897,25.455,24.526,22.222,24.389,23.114,22.538,23.121,24.265,23.163,23.911,23.326,22.771,23.942,23.03,24.312,23.674,23.782,24.198,24.94,22.245,23.48,22.843,22.723,24.016,24.137,23.633,22.959,24.101,24.916,23.059,24.432,22.412,22.891,22.699,23.13,24.294,22,23.554,24.88,24.734,24.857,22.874,24.283,23.87,23.982,24.216,23.935,23.713,23.461,22.738,23.949,26.071,24.18,24.429,24.538,24.135,24.98,24.586,25.431,26.563,23.929,24.844,23.318,23.437,24.557,24.054,24.246,25.209,23.384,24.844,24.022,24.342,24.94,24.925,26.001,25.726,25.628,21.773,22.213,23.959,23.935,23.607,23.911,23.695,23.695,23.863,23.137
2019-08-18 2:00,24.366,24.844,23.36,24.903,24.961,23.682,23.414,25.055,25.135,23.24,21.493,21.983,22.384,22.681,22.805,23.408,22.534,22.126,23.342,23.336,22.485,22.881,23.097,21.54,18.77,23.295,22.573,22.249,22.492,23.078,23.67,23.583,22.908,22.373,22.235,22.667,23.623,22.809,22.15,21.881,22.553,16.369,22.841,21.477,19.762,18.665,21.979,24.078,23.025,21.04,25.455,24.382,22.318,24.294,23.114,22.538,22.929,23.798,23.001,23.911,22.895,22.771,23.798,22.719,24.312,23.674,23.782,24.15,24.832,22.292,23.384,22.843,22.532,24.016,24.137,23.681,22.959,24.101,24.82,23.059,24.531,22.412,22.891,22.699,23.13,24.294,22,23.554,24.988,24.635,24.709,22.658,24.12,23.774,23.887,24.054,23.791,23.57,23.366,22.738,23.746,26.071,23.887,24.225,24.249,23.989,24.931,24.489,25.431,26.563,23.881,24.796,23.318,23.294,24.557,23.911,24.246,25.127,23.384,24.844,23.959,24.23,24.719,24.844,25.849,25.726,25.628,21.861,22.139,23.959,23.935,23.671,23.791,23.695,23.695,23.607,22.881
2019-08-18 3:00,24.366,24.844,23.372,24.514,24.538,23.452,23.218,24.858,24.88,23.097,21.169,21.684,22.025,22.436,22.464,23.121,22.426,21.827,23.15,23.192,22.174,22.594,22.761,21.11,17.765,23.008,22.381,21.962,22.205,23.078,23.382,23.156,22.716,21.99,22.043,22.505,23.528,22.809,21.605,21.498,22.332,16.242,22.905,20.958,19.174,18.077,21.852,24.078,23.025,21.088,25.455,24.382,22.318,24.198,23.114,22.538,22.821,23.601,22.953,23.767,22.608,22.628,23.75,22.528,24.312,23.674,23.591,23.959,24.593,22.292,23.384,22.843,22.388,24.162,24.137,23.681,22.863,24.101,24.725,23.059,24.531,22.508,22.891,22.699,23.13,24.294,22,23.554,25.099,24.537,24.709,22.443,23.905,23.678,23.743,24.054,23.743,23.426,23.174,22.738,23.65,25.972,23.815,24.129,24.105,23.844,24.931,24.392,25.431,26.415,23.737,24.796,23.27,23.246,24.557,23.863,24.15,25.012,23.384,24.797,23.943,24.126,24.701,24.797,25.819,25.726,25.567,21.905,22.11,24.086,24.126,23.671,23.791,23.605,23.605,23.352,22.626
2019-08-18 4:00,24.366,24.844,23.21,24.437,24.308,23.414,23.027,24.693,24.773,23.001,20.954,21.493,21.63,22.245,22.321,22.881,22.235,21.719,23.15,23.097,22.031,22.45,22.474,20.798,17.765,22.768,22.142,21.77,22.014,23.078,23.095,22.869,22.459,21.738,21.852,22.314,23.336,22.809,21.226,21.277,22.177,16.145,22.905,20.535,18.983,17.886,21.852,24.078,23.025,21.088,25.455,24.382,22.318,24.198,23.114,22.538,22.714,23.553,22.809,23.719,22.416,22.58,23.75,22.432,24.12,23.674,23.591,23.959,24.485,22.292,23.384,22.843,22.245,24.211,24.137,23.681,22.767,24.101,24.629,23.059,24.531,22.412,22.891,22.699,23.13,24.294,22,23.554,25.135,24.537,24.709,22.281,23.809,23.487,23.599,23.863,23.743,23.378,23.174,22.738,23.459,26.071,23.743,23.937,24.057,23.844,24.783,24.392,25.283,26.366,23.737,24.701,23.126,23.246,24.413,23.863,24.054,25.012,23.384,24.653,23.767,24.126,24.701,24.653,25.652,25.726,25.431,21.861,22.124,24.15,24.126,23.671,23.631,23.48,23.48,23.161,22.498
2019-08-18 5:00,24.363,24.893,23.42,24.485,24.413,23.529,23.065,24.735,24.773,23.001,20.954,21.493,21.528,22.245,22.416,22.833,22.235,21.719,23.15,23.097,22.031,22.45,22.331,20.798,17.765,22.673,22.142,21.626,21.918,23.078,23.239,22.745,22.405,21.609,21.9,22.314,23.336,22.809,21.034,21.366,22.163,16.145,22.714,20.343,18.983,18.077,21.852,24.078,23.025,21.088,25.455,24.382,22.318,24.198,23.114,22.442,22.714,23.553,22.809,23.719,22.321,22.58,23.75,22.336,24.12,23.674,23.591,23.959,24.413,22.292,23.384,22.699,22.197,24.211,24.137,23.681,22.767,24.101,24.533,23.059,24.531,22.412,22.891,22.699,23.054,24.294,22,23.554,25.135,24.537,24.709,22.281,23.713,23.487,23.552,23.863,23.552,23.265,23.174,22.738,23.459,26.022,23.671,23.937,24.057,23.653,24.734,24.392,25.234,26.366,23.737,24.605,23.126,23.102,24.366,23.863,24.102,24.836,23.192,24.653,23.767,23.972,24.598,24.653,25.652,25.726,25.431,21.866,22.139,24.15,24.126,23.863,23.599,23.48,23.48,23.097,22.307
2019-08-18 6:00,24.366,25.037,23.306,24.533,24.461,23.682,23.18,24.932,24.773,23.001,21.062,21.493,21.528,22.245,22.56,22.977,22.235,21.719,23.15,23.097,22.126,22.45,22.331,20.798,17.765,22.673,22.142,21.77,21.918,23.078,23.287,22.725,22.405,21.559,22.043,22.314,23.336,22.809,20.99,21.469,22.163,16.144,22.777,20.511,19.174,18.395,21.852,24.078,23.025,21.088,25.455,24.382,22.318,24.198,23.114,22.346,22.714,23.553,22.809,23.575,22.225,22.388,23.75,22.336,24.12,23.674,23.591,23.959,24.342,22.292,23.384,22.652,22.143,24.165,24.089,23.681,22.767,24.101,24.533,23.059,24.531,22.556,22.891,22.699,22.939,24.294,22,23.554,25.265,24.537,24.709,22.281,23.713,23.487,23.552,23.863,23.552,23.163,23.174,22.738,23.459,26.071,23.671,23.937,24.057,23.653,24.734,24.249,25.234,26.366,23.737,24.605,23.126,23.054,24.366,23.863,24.054,24.82,23.192,24.653,23.767,23.935,24.509,24.653,25.652,25.726,25.431,21.876,22.139,24.15,24.126,23.863,23.599,23.48,23.48,22.969,22.179
2019-08-18 7:00,24.366,25.037,23.258,24.629,24.461,23.797,23.218,24.932,24.773,23.097,21.062,21.493,21.45,22.245,22.608,22.833,22.235,21.719,23.15,23.097,22.126,22.45,22.331,20.798,17.765,22.673,22.142,21.818,21.918,23.078,23.287,22.725,22.405,21.559,22.043,22.314,23.336,22.809,20.99,21.469,22.163,16.124,22.714,20.511,19.174,18.458,21.852,24.078,23.025,21.088,25.455,24.43,22.318,24.198,23.114,22.346,22.714,23.553,22.809,23.528,22.225,22.388,23.75,22.528,24.12,23.674,23.591,23.911,24.342,22.292,23.36,22.652,22.173,24.162,24.137,23.681,22.767,24.101,24.533,23.059,24.58,22.604,22.891,22.699,22.977,24.294,22,23.554,25.345,24.537,24.709,22.281,23.713,23.487,23.552,23.863,23.599,23.306,23.174,22.738,23.459,26.071,23.671,23.937,24.057,23.653,24.734,24.201,25.234,26.305,23.737,24.605,23.126,23.054,24.366,23.863,24.054,24.836,23.256,24.653,23.767,23.935,24.509,24.633,25.652,25.726,25.431,21.854,22.139,24.15,24.126,23.863,23.599,23.48,23.48,22.905,22.259
2019-08-18 8:00,24.366,24.935,23.324,24.078,24.018,23.912,23.524,24.467,24.234,23.384,20.954,21.385,21.57,22.245,22.464,22.785,22.139,21.612,23.15,23.049,22.031,22.354,22.235,20.798,17.765,22.673,22.088,21.722,21.918,23.078,23.287,22.749,22.405,21.559,21.995,22.314,23.097,22.809,20.99,21.513,22.096,16.123,22.714,20.511,19.237,18.458,21.852,24.078,23.025,20.837,25.418,24.377,22.06,23.959,22.772,22.053,22.618,23.595,22.797,23.318,22.081,22.268,23.367,22.528,23.779,23.147,23.208,23.444,23.911,22.131,23.013,22.448,22.173,23.922,23.873,23.412,22.51,23.55,24.078,22.753,24.502,22.31,22.693,22.316,22.762,24.069,22,23.277,25.225,24.489,24.66,22.233,23.666,23.337,23.3,23.42,23.198,23.155,23.03,22.738,23.459,25.948,23.498,23.842,23.961,23.557,24.372,23.907,25.136,26.194,23.594,24.389,22.971,22.959,24.15,23.593,23.839,24.557,23.145,24.479,23.687,23.865,24.45,24.581,25.221,25.361,25.133,21.882,22.139,24.198,23.839,23.599,23.48,23.093,23.077,22.905,22.187
2019-08-18 9:00,24.366,24.587,23.318,23.575,23.288,24.065,23.754,23.487,23.456,23.049,20.631,21.133,21.69,22.245,22.608,22.642,21.852,21.312,22.959,23.097,22.222,21.971,22.043,20.99,17.765,22.673,21.831,21.435,21.822,23.078,23.287,22.821,22.405,21.654,21.636,22.122,22.474,22.809,20.99,21.66,21.786,15.951,22.714,20.766,19.555,18.713,21.852,24.078,23.025,19.7,25.308,23.353,21.264,23.446,21.731,21.269,22.139,23.29,21.684,22.594,21.554,21.646,22.649,22.145,23.235,22.333,22.49,23.36,23.39,21.598,22.522,22.173,21.766,22.676,22.292,21.838,21.738,22.473,23.504,21.646,23.202,20.832,21.335,20.976,21.426,23.216,22,22.324,23.312,24.201,24.225,21.85,23.115,22.32,23.145,22.522,22.383,22.301,22.121,22.738,23.459,24.222,22.522,23.554,23.65,22.911,23.866,23.411,24.15,25.431,23.163,23.959,22.504,22.528,23.216,22.642,22.833,22.538,21.86,22.821,23.145,23.528,23.905,24.07,23.261,23.963,23.887,21.864,22.139,23.145,22.594,22.299,22.61,21.381,21.381,22.331,21.556
