Time,DC
2019-08-18 0:00,16
2019-08-18 1:00,9
2019-08-18 2:00,9
2019-08-18 3:00,8
2019-08-18 4:00,8
2019-08-18 5:00,8
2019-08-18 6:00,10
2019-08-18 7:00,11
2019-08-18 8:00,17
2019-08-18 9:00,13
2019-08-18 10:00,12
2019-08-18 11:00,15
2019-08-18 12:00,21
2019-08-18 13:00,27
2019-08-18 14:00,28
2019-08-18 15:00,36
2019-08-18 16:00,35
2019-08-18 17:00,45
2019-08-18 18:00,37
2019-08-18 19:00,27
2019-08-18 20:00,25
2019-08-18 21:00,22
2019-08-18 22:00,13
2019-08-18 23:00,12
2019-08-19 0:00,16
2019-08-19 1:00,17
2019-08-19 2:00,14
2019-08-19 3:00,7
2019-08-19 4:00,9
2019-08-19 5:00,9
2019-08-19 6:00,11
2019-08-19 7:00,11
2019-08-19 8:00,17
2019-08-19 9:00,38
2019-08-19 10:00,72
2019-08-19 11:00,104
2019-08-19 12:00,102
2019-08-19 13:00,104
2019-08-19 14:00,124
2019-08-19 15:00,127
2019-08-19 16:00,111
2019-08-19 17:00,75
2019-08-19 18:00,52
2019-08-19 19:00,43
2019-08-19 20:00,35
2019-08-19 21:00,17
2019-08-19 22:00,13
2019-08-19 23:00,11
2019-08-20 0:00,10
2019-08-20 1:00,11
2019-08-20 2:00,12
2019-08-20 3:00,11
2019-08-20 4:00,10
2019-08-20 5:00,10
2019-08-20 6:00,11
2019-08-20 7:00,12
2019-08-20 8:00,15
2019-08-20 9:00,33
2019-08-20 10:00,89
2019-08-20 11:00,107
2019-08-20 12:00,97
2019-08-20 13:00,92
2019-08-20 14:00,112
2019-08-20 15:00,107
2019-08-20 16:00,108
2019-08-20 17:00,79
2019-08-20 18:00,49
2019-08-20 19:00,34
2019-08-20 20:00,24
2019-08-20 21:00,22
2019-08-20 22:00,16
2019-08-20 23:00,16
2019-08-21 0:00,11
2019-08-21 1:00,11
2019-08-21 2:00,10
2019-08-21 3:00,7
2019-08-21 4:00,10
2019-08-21 5:00,8
2019-08-21 6:00,10
2019-08-21 7:00,10
2019-08-21 8:00,11
2019-08-21 9:00,27
2019-08-21 10:00,60
2019-08-21 11:00,90
2019-08-21 12:00,80
2019-08-21 13:00,95
2019-08-21 14:00,101
2019-08-21 15:00,105
2019-08-21 16:00,95
2019-08-21 17:00,68
2019-08-21 18:00,53
2019-08-21 19:00,42
2019-08-21 20:00,26
2019-08-21 21:00,22
2019-08-21 22:00,14
2019-08-21 23:00,12
2019-08-22 0:00,11
2019-08-22 1:00,14
2019-08-22 2:00,16
2019-08-22 3:00,10
2019-08-22 4:00,10
2019-08-22 5:00,10
2019-08-22 6:00,12
2019-08-22 7:00,12
2019-08-22 8:00,19
2019-08-22 9:00,37
2019-08-22 10:00,81
2019-08-22 11:00,99
2019-08-22 12:00,97
2019-08-22 13:00,105
2019-08-22 14:00,114
2019-08-22 15:00,102
2019-08-22 16:00,95
2019-08-22 17:00,65
2019-08-22 18:00,51
2019-08-22 19:00,39
