Time,Forecast,Actual
2019-08-18,4,4
2019-08-19,1,3
2019-08-20,1,3
2019-08-21,1,3
2019-08-22,1,3
2019-08-23,1,4
2019-08-24,4,4
2019-08-25,4,4
2019-08-26,4,4
2019-08-27,4,4
2019-08-28,4,4
2019-08-29,4,4
2019-08-30,4,4
2019-08-31,4,4
2019-09-01,4,4
2019-09-02,4,4
2019-09-03,4,3
2019-09-04,2,2
2019-09-05,1,2
2019-09-06,1,3
2019-09-07,1,4
2019-09-08,4,4
2019-09-09,4,2
2019-09-10,2,1
2019-09-11,1,1
2019-09-12,1,1
2019-09-13,1,2
2019-09-14,3,4
2019-09-15,4,4
2019-09-16,4,1
2019-09-17,1,1
2019-09-18,1,1
2019-09-19,1,1
2019-09-20,1,2
2019-09-21,3,4
2019-09-22,3,4
2019-09-23,1,1
2019-09-24,1,1
2019-09-25,1,1
2019-09-26,1,1
2019-09-27,1,2
2019-09-28,3,4
2019-09-29,3,4
2019-09-30,1,1
2019-10-01,1,1
2019-10-02,1,1
2019-10-03,1,1
2019-10-04,1,2
2019-10-05,1,4
2019-10-06,3,4
2019-10-07,1,1
2019-10-08,1,1
2019-10-09,1,1
2019-10-10,1,1
2019-10-11,1,2
2019-10-12,4,4
2019-10-13,4,4
2019-10-14,3,4
2019-10-15,1,1
2019-10-16,1,1
2019-10-17,1,1
2019-10-18,1,2
2019-10-19,4,4
2019-10-20,3,4
2019-10-21,1,3
2019-10-22,1,3
2019-10-23,1,3
2019-10-24,1,3
2019-10-25,1,3
2019-10-26,3,4
2019-10-27,4,4
2019-10-28,1,1
2019-10-29,1,1
2019-10-30,1,1
2019-10-31,1,2
2019-11-01,1,2
2019-11-02,1,4
2019-11-03,3,4
2019-11-04,1,1
2019-11-05,1,1
2019-11-06,1,1
2019-11-07,1,2
2019-11-08,1,2
2019-11-09,4,4
2019-11-10,4,4
2019-11-11,1,1
2019-11-12,1,1
2019-11-13,1,1
2019-11-14,1,1
2019-11-15,1,2
2019-11-16,4,4
2019-11-17,4,4
2019-11-18,1,1
2019-11-19,1,2
2019-11-20,1,1
2019-11-21,1,1
2019-11-22,1,2
2019-11-23,3,3
2019-11-24,4,4
2019-11-25,1,1
2019-11-26,1,1
2019-11-27,1,1
2019-11-28,1,1
2019-11-29,1,2
2019-11-30,4,4
2019-12-01,4,4
2019-12-02,1,1
2019-12-03,1,1
2019-12-04,1,4
2019-12-05,1,4
2019-12-06,1,4
2019-12-07,3,4
2019-12-08,4,4
2019-12-09,1,4
2019-12-10,1,4
2019-12-11,1,4
2019-12-12,1,4
2019-12-13,1,4
2019-12-14,3,4
2019-12-15,4,4
2019-12-16,1,4
2019-12-17,1,4
2019-12-18,1,4
2019-12-19,1,4
2019-12-20,1,4
2019-12-21,4,4
2019-12-22,4,4
2019-12-23,4,4
2019-12-24,4,4
2019-12-25,4,4
2019-12-26,4,4
2019-12-27,4,4
2019-12-28,4,4
2019-12-29,4,4
2019-12-30,4,4
2019-12-31,4,4
2020-01-01,4,4
2020-01-02,4,4
2020-01-03,4,4
2020-01-04,4,4
2020-01-05,4,4
2020-01-06,1,4
2020-01-07,1,4
2020-01-08,1,4
2020-01-09,1,4
2020-01-10,1,4
2020-01-11,4,3
2020-01-12,4,4
2020-01-13,1,1
2020-01-14,1,2
2020-01-15,1,3
2020-01-16,1,2
2020-01-17,1,2
2020-01-18,4,4
2020-01-19,4,4
2020-01-20,1,1
2020-01-21,1,1
2020-01-22,1,1
2020-01-23,1,1
2020-01-24,1,2
2020-01-25,2,3
2020-01-26,4,4
2020-01-27,1,1
2020-01-28,1,1
2020-01-29,1,1
2020-01-30,1,1
2020-01-31,1,2
