Time,RM1,RM2,RM3,RM4,RM5,RM6,RM7,RM8,RM9,RM10,RM11,RM12,RM13,RM14,RM15,RM16,RM17,RM18,RM19,RM20,RM21,RM22,RM23,RM24,RM25,RM26,RM27,RM28,RM29,RM30,RM31,RM32,RM33,RM34,RM35,RM36,RM37,RM38,RM39,RM40,RM41,RM42,RM43,RM44,RM45,RM46,RM47,RM48,RM49,RM50,RM51,RM52,RM53,RM54,RM55,RM56,RM57,RM58,RM59,RM60,RM61,RM62,RM63,RM64,RM65,RM66,RM67,RM68,RM69,RM70,RM71,RM72,RM73,RM74,RM75,RM76,RM77,RM78,RM79,RM80,RM81,RM82,RM83,RM84,RM85,RM86,RM87,RM88,RM89,RM90,RM91,RM92,RM93,RM94,RM95,RM96,RM97,RM98,RM99,RM100,RM101,RM102,RM103,RM104,RM105,RM106,RM107,RM108,RM109,RM110,RM111,RM112,RM113,RM114,RM115,RM116,RM117,RM118,RM119,RM120,RM121,RM122,RM123,RM124,RM125,RM126,RM127,RM128,RM129,RM130,RM131,RM132,RM133,RM134,RM135,RM136,RM137
2018-08-19 0:00,24.222,25.234,26.563,25.972,25.997,24.419,23.347,26.976,26.735,24.557,23.671,23.959,23.557,22.676,24.606,25.603,23.647,22.533,22.719,24.198,24.823,24.461,24.485,23.791,22.238,23.056,23.506,23.829,23.259,23.078,24.634,24.544,23.794,23.57,22.785,23.87,24.102,23.097,23.303,23.647,22.091,14.806,23.336,22.498,22.762,22.372,23.049,23.025,22.522,19.915,24.15,21.964,20.307,22.091,20.815,20.527,21.564,22.691,21.852,22.474,21.746,21.119,22.05,22.169,21.894,21.16,21.46,22.474,21.995,20.76,21.588,21.981,21.622,22.508,21.862,21.478,20.876,21.802,21.971,21.431,21.885,20.042,20.425,20.09,19.994,21.995,22,21.998,21.684,24.057,24.057,21.826,21.87,22.098,22.857,22.809,21.948,20.769,20.948,21.493,22.262,21.995,21.487,23.889,24.129,23.059,23.345,23.105,23.983,24.744,23.259,24.006,22.48,23.27,22.139,21.804,22.12,20.891,20.645,21.397,21.008,20.798,21.086,21.277,22.722,22.79,23.576,22.907,23.097,21.908,22.107,21.916,21.205,20.511,20.511,21.684,21.78
2018-08-19 1:00,24.222,25.258,26.711,25.972,25.997,24.371,23.347,26.828,26.342,24.557,23.599,23.887,23.557,22.676,24.754,25.406,23.504,22.485,22.719,24.198,24.64,24.461,24.485,23.438,22.238,23.247,23.506,23.781,23.259,23.078,24.634,24.544,23.734,23.531,22.785,23.87,24.102,23.097,23.377,23.566,22.15,14.637,23.336,22.259,22.554,22.147,23.049,23.025,22.522,19.915,24.15,21.964,20.307,22.043,20.672,20.483,21.564,22.643,21.804,22.378,21.746,20.928,21.955,22.025,21.846,21.16,21.46,22.426,22.031,20.76,21.493,21.885,21.431,22.508,21.909,21.478,20.876,21.802,21.971,21.431,21.885,19.994,20.377,20.09,19.898,21.995,22,21.998,21.612,24.057,24.057,21.826,21.87,22.098,22.905,22.474,21.804,20.625,20.804,21.157,22.309,21.948,21.612,24.033,24.129,22.868,22.764,22.597,23.561,24.208,23.067,23.815,22.336,23.03,22.043,21.804,22.043,20.703,20.511,21.253,20.846,20.655,21.068,21.118,22.636,22.714,23.576,22.76,22.959,21.971,22.091,21.908,21.116,20.511,20.511,21.493,21.828
2018-08-19 2:00,24.222,25.234,26.711,26.071,25.997,24.368,23.347,26.914,26.582,24.557,23.635,23.959,23.521,22.829,24.846,25.603,23.504,22.485,22.719,24.198,24.592,24.461,24.378,23.384,22.238,23.056,23.506,23.829,23.259,23.078,24.634,24.544,23.746,23.474,22.69,23.87,24.102,23.097,23.48,23.605,22.117,14.546,23.336,22.115,22.618,22.147,23.049,23.025,22.522,19.915,24.15,21.773,20.259,22.043,20.624,20.335,21.373,22.643,21.66,22.187,21.746,20.724,21.811,22.025,21.846,21.16,21.46,22.378,21.912,20.76,21.397,21.79,21.287,22.436,21.808,21.478,20.876,21.802,22.019,21.287,21.885,19.946,20.377,20.09,19.803,21.995,22,21.998,21.612,24.057,24.057,21.826,21.755,21.607,22.546,22.235,21.612,20.529,20.756,20.708,22.309,21.995,21.612,24.033,24.129,22.662,22.669,22.453,23.312,24.059,22.875,23.623,22.192,22.887,21.924,21.642,22.043,20.623,20.423,21.11,20.81,20.607,20.982,21.086,22.458,22.714,23.428,22.863,22.94,21.971,22.147,21.971,20.99,20.511,20.511,21.349,21.828
2018-08-19 3:00,24.222,25.382,26.711,26.169,25.997,24.299,23.347,26.939,26.446,24.461,23.528,23.851,23.557,22.867,24.975,25.652,23.504,22.485,22.719,24.198,24.449,24.246,24.318,23.384,21.237,23.056,23.506,23.829,23.259,23.078,24.634,24.491,23.746,23.474,22.594,23.87,24.102,23.097,23.48,23.561,22.127,14.482,23.336,21.924,22.378,22.019,23.049,23.025,22.522,19.915,24.15,21.773,20.115,22.043,20.624,20.335,21.373,22.643,21.66,22.187,21.746,20.617,21.715,21.881,21.702,21.16,21.412,22.235,22.031,20.76,21.301,21.682,21.191,22.484,21.742,21.478,20.684,21.802,22.019,21.239,21.885,20.042,20.329,20.09,19.611,21.995,22,21.807,21.756,23.866,24.057,21.826,21.631,21.164,22.354,22.091,21.517,20.386,20.564,20.43,22.166,21.995,21.57,23.985,24.129,22.576,22.669,22.405,23.384,23.983,22.78,23.432,22.049,22.695,22.043,21.588,21.89,20.511,20.319,21.062,20.631,20.607,21.014,21.046,22.283,22.637,23.443,22.73,22.846,21.948,22.099,21.971,20.99,20.383,20.383,21.253,21.828
2018-08-19 4:00,24.222,25.283,26.711,26.071,25.923,24.347,23.347,26.926,26.563,24.461,23.24,23.528,23.521,22.867,24.975,25.702,23.456,22.485,22.623,24.198,24.449,24.246,24.27,23.192,21.237,23.056,23.506,23.829,23.259,23.078,24.634,24.449,23.746,23.384,22.594,23.87,24.102,22.951,23.48,23.55,22.067,14.353,23.336,21.876,22.227,21.828,23.049,23.025,22.522,19.915,24.15,21.773,20.115,22.091,20.624,20.335,21.229,22.452,21.66,21.971,21.746,20.425,21.619,21.833,21.654,21.017,21.269,22.139,21.912,20.712,21.205,21.574,21.048,22.436,21.885,21.478,20.684,21.802,21.936,21.239,21.885,19.994,20.257,19.994,19.611,21.995,22,21.807,21.756,23.866,24.057,21.826,21.631,20.955,22.163,21.948,21.373,20.386,20.319,20.311,22.118,21.995,21.337,23.842,24.129,22.461,22.621,22.405,23.341,23.983,22.636,23.336,22.001,22.587,21.948,21.588,21.928,20.415,20.29,21.062,20.631,20.527,20.97,21.062,22.235,22.714,23.664,22.671,22.749,21.948,22.043,21.971,20.814,20.319,20.319,21.205,21.828
2018-08-19 5:00,24.222,25.431,26.711,26.169,26.022,24.347,23.347,27.074,26.957,24.366,23.24,23.528,23.593,22.771,25.123,25.849,23.504,22.438,22.671,24.198,24.449,24.246,24.27,23.384,21.237,23.056,23.506,23.829,23.259,23.078,24.634,24.458,23.746,23.378,22.594,23.87,24.102,22.929,23.48,23.717,22.067,14.305,23.336,21.918,22.354,22.019,22.977,23.025,22.522,19.915,24.15,21.773,20.115,22.091,20.576,20.281,21.181,22.452,21.66,21.971,21.746,20.377,21.619,21.833,21.654,20.969,21.269,22.043,21.954,20.569,21.205,21.574,21.048,22.436,21.838,21.478,20.684,21.802,22.019,21.239,21.885,19.946,20.162,19.898,19.563,21.948,22,21.807,21.756,23.866,24.057,21.788,21.631,20.805,22.055,21.804,21.229,20.194,20.157,20.179,22.166,21.995,21.445,23.842,24.129,22.384,22.477,22.405,23.169,23.983,22.492,23.192,21.809,22.48,21.995,21.588,22.043,20.319,20.246,21.044,20.631,20.479,21.038,21.014,22.091,22.714,23.576,22.804,23.029,21.948,22.16,21.971,20.798,20.319,20.319,21.062,21.666
2018-08-19 6:00,24.222,25.431,26.711,26.169,25.966,24.252,23.252,26.902,26.539,24.366,23.025,23.348,23.497,22.723,25.123,25.702,23.504,22.342,22.623,24.198,24.449,24.246,24.27,23.192,21.237,23.056,23.506,23.829,23.067,23.078,24.634,24.449,23.728,23.378,22.594,23.87,24.102,22.929,23.494,23.644,22.067,14.253,23.336,21.756,22.067,21.732,23.025,23.025,22.522,19.915,24.15,21.581,20.115,22.091,20.432,20.119,21.086,22.452,21.66,21.78,21.746,20.233,21.428,21.779,21.511,20.969,21.173,21.948,21.948,20.569,21.205,21.526,20.856,22.101,21.55,21.287,20.684,21.611,21.971,21.048,21.885,19.994,20.162,19.898,19.42,21.852,22,21.807,21.756,23.866,24.057,21.635,21.631,20.71,21.948,21.756,21.181,20.194,20.157,20.145,22.07,22.049,21.445,23.842,24.129,22.231,22.477,22.309,23.169,23.983,22.445,23.049,21.809,22.336,22.043,21.588,21.89,20.319,20.246,21.02,20.535,20.479,20.92,20.918,22.059,22.56,23.399,22.715,22.819,21.948,22.107,21.971,20.798,20.319,20.319,21.014,21.612
2018-08-19 7:00,24.222,25.431,26.612,26.169,25.991,24.299,23.299,27.012,26.532,24.366,23.025,23.312,23.533,22.867,25.123,25.751,23.498,22.39,22.719,24.198,24.496,24.246,24.27,23.24,21.237,23.056,23.506,23.877,23.204,23.078,24.634,24.449,23.722,23.382,22.594,23.966,24.198,22.929,23.55,23.644,22.095,14.264,23.336,22.091,22.307,22.211,23.089,23.025,22.522,19.915,24.15,21.581,20.115,22.043,20.432,20.119,21.038,22.547,21.66,21.78,21.746,20.233,21.428,23.021,21.463,20.969,21.077,21.852,22.031,20.569,21.11,21.622,21.048,21.957,21.455,21.095,20.684,21.395,22.013,21,21.885,19.994,20.162,19.898,19.42,21.948,22,22.19,21.612,23.913,24.057,21.635,21.626,20.71,21.948,21.756,21.181,20.194,20.014,20.144,21.735,22.45,21.445,23.842,24.129,22.192,22.477,22.214,23.169,23.868,22.301,23.001,21.618,22.288,21.948,21.732,22.005,20.383,20.319,20.966,20.631,20.607,21.014,21.062,21.9,22.522,23.384,22.686,22.791,21.948,22.019,21.971,20.878,20.319,20.319,21.349,22.283
2018-08-19 8:00,24.222,25.235,26.662,25.316,25.213,24.252,23.443,26.026,25.685,24.162,22.588,22.953,23.431,22.819,24.249,25.01,23.336,22.102,22.911,24.288,24.402,23.749,23.935,23.432,20.231,23.295,23.638,23.956,23.402,23.078,24.2,24.391,23.596,23.387,22.402,24.001,24.15,22.885,23.456,23.29,22.075,14.433,23.272,22.756,23.312,23.402,23.28,23.025,22.522,19.915,24.15,21.581,20.115,22.091,20.624,20.311,21.469,24.624,21.66,21.78,21.746,20.233,21.428,26.129,21.463,20.969,21.077,21.995,22.073,20.569,21.445,21.957,22.005,21.957,21.311,21.095,20.684,21.204,22.031,20.856,21.885,19.994,20.162,19.946,19.515,22.043,22,22.764,21.612,23.913,23.913,21.75,21.626,20.757,21.948,21.756,21.229,20.194,20.253,20.687,22.022,22.977,21.445,23.937,24.081,22.192,22.477,22.214,23.169,23.791,22.301,23.001,21.618,22.192,22.043,22.402,22.58,20.511,20.305,21.014,20.631,20.607,21.014,21.062,21.963,22.522,23.384,22.264,22.393,21.948,22.147,21.971,21.501,20.559,20.559,22.354,23.48
2018-08-19 9:00,24.222,24.653,26.268,23.911,23.264,23.934,23.539,23.726,23.504,23.504,21.277,21.564,22.276,22.58,23.26,23.504,22.402,21.24,22.695,23.504,23.515,23.24,23.504,22.738,20.231,23.391,22.71,22.823,22.612,23.078,23.354,23.399,22.836,22.855,21.708,22.864,22.857,22.575,22.822,22.563,21.708,14.625,22.761,22.929,24.174,24.126,22.562,23.025,22.522,19.915,24.15,21.581,20.115,22.139,20.911,20.694,22.354,25.541,21.66,21.78,21.746,20.233,21.428,26.006,21.511,20.969,21.077,22.187,21.948,20.712,22.067,22.915,22.364,21.838,21.311,21.095,20.684,21.204,21.971,20.856,21.885,19.994,20.162,20.042,19.611,22.235,22,22.908,21.684,23.674,23.674,21.635,21.631,20.949,21.995,21.852,21.373,20.338,20.445,20.937,22.357,23.408,21.337,23.626,23.937,22.269,22.477,22.214,23.169,23.791,22.301,23.001,21.618,22.097,22.235,22.354,22.963,20.607,20.231,20.966,20.631,20.559,21.014,21.062,22.091,22.56,23.384,22.016,21.996,21.948,22.147,21.971,22.362,20.894,20.894,23.743,24.631
